"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",134,88,152
"AR",7,19,124
"ARID3A",18,46,13
"ARNT",109,130,64
"ARNTL",19,116,108
"ASCL2",119,91,65
"ATF1",144,60,41
"ATF2",127,129,147
"ATF3",96,22,132
"BACH1",74,74,88
"BACH2",68,26,20
"BARX2",89,51,131
"BATF",111,95,82
"BCL11A",105,24,40
"BCL6",149,148,172
"BHLHE40",28,79,32
"CEBPA",158,14,77
"CEBPD",60,41,103
"CLOCK",62,13,6
"CTCF",10,164,173
"E2F2",22,15,31
"E2F3",126,112,170
"E2F4",92,23,34
"E2F6",114,133,97
"E2F7",78,10,61
"E2F8",69,123,181
"EBF1",178,159,106
"EGR1",143,178,143
"EGR2",108,35,51
"EHF",130,174,157
"ELF1",61,16,22
"ELK1",176,160,80
"ELK3",98,36,27
"ELK4",141,110,145
"EPAS1",33,84,105
"ESR1",13,156,146
"ESR2",137,101,91
"ESRRA",43,6,70
"ETS2",156,163,133
"ETV1",20,140,85
"ETV5",104,162,16
"ETV6",177,181,182
"ETV7",52,149,140
"FOS",175,132,43
"FOSL1",97,39,76
"FOSL2",3,9,21
"FOXD2",112,49,163
"FOXH1",35,128,139
"FOXK1",76,99,180
"FOXM1",26,72,141
"FOXO3",27,83,52
"FOXP1",95,1,72
"FOXP2",162,119,18
"FOXP3",53,137,155
"GATA1",131,77,101
"GATA2",38,96,94
"GATA3",15,4,148
"GATA4",129,106,171
"GLI2",51,59,123
"GLIS1",40,135,126
"GMEB1",103,44,109
"GMEB2",4,32,168
"GRHL2",67,93,125
"GTF2B",182,182,92
"GTF2I",85,69,110
"HEY1",32,48,39
"HIF1A",142,165,177
"HINFP",166,161,127
"HNF1B",16,45,176
"HNF4A",159,168,137
"HNF4G",45,8,112
"HOXA1",80,54,122
"HOXA4",168,175,169
"HOXB13",123,52,166
"HOXC6",161,144,156
"HSF1",77,50,69
"HSF2",145,127,135
"IRF2",54,111,46
"IRF3",107,153,11
"IRF4",81,56,33
"JUN",48,151,58
"JUNB",124,55,15
"JUND",181,183,178
"KLF1",2,11,5
"KLF10",164,113,183
"KLF3",133,155,17
"KLF4",179,167,114
"KLF9",160,109,99
"KMT2A",64,30,151
"LHX2",56,82,159
"MAF",41,94,100
"MAFF",58,102,53
"MAFK",29,71,4
"MECOM",169,179,113
"MEF2A",93,57,78
"MEF2C",125,66,63
"MEIS1",79,85,1
"MITF",150,86,49
"MNT",120,78,3
"MXI1",82,18,47
"MYB",90,76,154
"MYBL2",146,81,9
"MYC",113,138,158
"NANOG",155,68,111
"NFAT5",50,117,87
"NFATC1",106,80,134
"NFE2",36,17,28
"NFIC",132,120,50
"NFYA",55,143,56
"NFYB",65,107,120
"NKX2-1",6,31,116
"NR2C2",147,169,165
"NR2F2",21,170,164
"NRF1",24,2,60
"PAX5",116,25,57
"PAX6",83,126,89
"PBX1",17,12,54
"PBX3",117,43,66
"PGR",84,124,175
"POU2F1",101,121,98
"POU2F2",72,37,23
"PPARG",138,131,129
"PRDM1",151,104,149
"RARA",165,177,138
"RARG",31,73,83
"RBPJ",153,150,121
"RELA",102,98,42
"REST",39,63,90
"RFX2",73,34,26
"RFX5",173,173,162
"RUNX1",34,5,48
"RUNX2",121,53,142
"RUNX3",163,142,10
"RXRA",139,70,37
"RXRG",75,172,74
"SETDB1",100,58,35
"SIX5",148,118,95
"SMAD3",136,157,14
"SOX17",70,87,7
"SP1",11,152,73
"SP4",128,29,75
"SPDEF",170,100,150
"SPI1",183,180,115
"SPIB",46,67,68
"SREBF1",49,42,38
"SRF",9,7,128
"STAT1",91,64,86
"STAT2",63,154,62
"STAT3",152,166,136
"STAT4",47,3,29
"STAT5A",154,125,119
"STAT5B",118,21,2
"TBP",172,176,25
"TBX21",57,105,84
"TCF12",157,89,160
"TCF21",99,75,24
"TCF3",174,171,130
"TCF4",122,97,104
"TCF7L2",23,145,44
"TEAD4",115,122,8
"TFAP2A",71,136,179
"TFAP2C",180,65,174
"TFAP4",1,40,67
"TFDP1",44,108,19
"THAP1",94,38,118
"TP63",135,27,153
"TP73",5,47,81
"USF1",8,28,55
"USF2",59,158,12
"VDR",30,62,79
"VEZF1",171,20,45
"XBP1",88,139,167
"YY1",37,61,144
"ZBTB33",110,33,30
"ZBTB7A",42,114,71
"ZBTB7B",86,134,96
"ZEB1",14,141,93
"ZFX",66,103,161
"ZKSCAN1",140,146,107
"ZNF143",87,115,59
"ZNF263",167,147,102
"ZNF384",12,92,117
"ZNF76",25,90,36
