"","ND251_34","ND251_LMPP"
"AHR",125,112
"AR",30,74
"ARID3A",152,60
"ARNT",58,145
"ARNTL",93,91
"ASCL1",166,171
"ASCL2",90,83
"ATF1",144,159
"ATF2",181,190
"ATF3",46,81
"BACH1",66,183
"BACH2",70,67
"BARX2",67,120
"BATF",180,98
"BCL11A",95,73
"BCL6",127,111
"BHLHE40",174,89
"CEBPA",13,34
"CEBPB",185,92
"CEBPD",142,87
"CLOCK",47,6
"CTCF",19,174
"CTCFL",131,2
"DUX4",124,71
"E2F1",10,46
"E2F2",148,11
"E2F3",71,163
"E2F4",113,78
"E2F6",52,72
"E2F7",116,61
"E2F8",187,181
"EBF1",6,141
"EGR1",3,77
"EGR2",132,96
"EHF",139,188
"ELF1",72,47
"ELK1",88,68
"ELK3",43,51
"ELK4",107,150
"EPAS1",84,62
"ESR1",59,54
"ESR2",154,95
"ESRRA",83,23
"ETS2",34,162
"ETV1",163,88
"ETV5",81,28
"ETV6",167,193
"ETV7",172,147
"FOS",108,85
"FOSL1",178,86
"FOSL2",151,36
"FOXA1",112,133
"FOXA2",130,1
"FOXD2",169,44
"FOXG1",2,49
"FOXH1",9,104
"FOXK1",119,119
"FOXM1",133,101
"FOXO3",40,10
"FOXP1",60,140
"FOXP2",29,108
"FOXP3",118,122
"GATA1",76,152
"GATA2",153,137
"GATA3",27,32
"GATA4",101,50
"GLI2",183,55
"GLIS1",82,39
"GMEB1",192,103
"GMEB2",62,97
"GRHL2",68,37
"GTF2B",188,192
"GTF2I",160,76
"HEY1",122,18
"HIF1A",5,139
"HINFP",104,144
"HNF1B",64,149
"HNF4A",15,69
"HNF4G",186,105
"HOXA1",48,173
"HOXA4",155,154
"HOXA6",106,175
"HOXB13",91,66
"HOXC6",109,161
"HSF1",89,48
"HSF2",32,132
"IRF1",115,172
"IRF2",80,143
"IRF3",134,146
"IRF4",37,12
"JUN",190,131
"JUNB",39,70
"JUND",170,194
"KLF1",11,63
"KLF10",138,42
"KLF3",126,189
"KLF4",164,186
"KLF9",57,130
"KMT2A",41,113
"LHX2",135,157
"MAF",146,121
"MAFF",162,15
"MAFK",85,135
"MECOM",121,164
"MEF2A",25,20
"MEF2C",53,153
"MEIS1",1,82
"MITF",14,19
"MNT",97,124
"MXI1",189,57
"MYB",98,110
"MYBL2",26,21
"MYC",51,168
"MYOD1",149,7
"NANOG",33,41
"NFAT5",177,45
"NFATC1",78,40
"NFE2",179,58
"NFIC",103,3
"NFYA",36,128
"NFYB",105,80
"NKX2-1",77,4
"NR2C2",20,16
"NR2F2",184,117
"NRF1",49,30
"ONECUT1",50,53
"OTX2",150,136
"PAX5",17,106
"PBX1",141,25
"PBX3",120,129
"PGR",63,166
"POU2F1",86,59
"POU2F2",140,27
"PPARG",136,93
"PRDM1",157,118
"PRDM14",18,134
"RARG",61,99
"RBPJ",156,182
"RELA",92,165
"REST",175,177
"RFX2",42,64
"RFX5",128,185
"RUNX1",147,8
"RUNX2",165,52
"RUNX3",7,167
"RXRA",74,43
"RXRG",143,94
"SETDB1",23,13
"SIX5",176,125
"SMAD3",110,116
"SOX17",137,56
"SP1",16,26
"SP4",114,107
"SPI1",56,115
"SPIB",158,65
"SREBF1",65,75
"SRF",168,35
"STAT1",194,123
"STAT2",111,169
"STAT3",22,151
"STAT4",94,22
"STAT5A",161,178
"STAT5B",54,156
"TBP",28,84
"TCF12",96,179
"TCF21",75,29
"TCF3",173,191
"TCF4",55,148
"TCF7L2",24,79
"TEAD4",102,155
"TFAP2A",44,9
"TFAP2C",79,160
"TFAP4",159,170
"TFDP1",8,17
"THAP1",35,100
"TP63",99,109
"TP73",117,114
"USF1",193,102
"USF2",69,138
"VDR",21,127
"VEZF1",45,5
"XBP1",182,126
"YY1",12,187
"ZBTB33",100,90
"ZBTB7A",191,180
"ZBTB7B",73,38
"ZEB1",38,142
"ZFP42",145,158
"ZFX",171,184
"ZKSCAN1",123,14
"ZNF143",129,33
"ZNF263",4,24
"ZNF384",31,176
"ZNF76",87,31
