"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",125,135,66
"AR",63,39,23
"ARID3A",152,23,11
"ARNT",114,129,84
"ARNTL",181,128,124
"ASCL1",147,161,185
"ASCL2",162,76,174
"ATF1",95,165,94
"ATF2",118,189,183
"ATF3",161,89,1
"BACH1",78,174,153
"BACH2",70,25,114
"BARX2",16,137,157
"BATF",151,109,126
"BCL11A",12,47,64
"BCL6",137,12,100
"BHLHE40",126,166,57
"CEBPA",38,77,144
"CEBPB",188,82,15
"CEBPD",33,124,148
"CLOCK",43,1,3
"CTCF",28,187,158
"CTCFL",175,9,58
"DUX4",99,86,67
"E2F1",163,8,46
"E2F2",123,2,62
"E2F3",159,178,168
"E2F4",7,44,56
"E2F6",75,98,74
"E2F7",61,5,53
"E2F8",141,179,170
"EBF1",79,32,6
"EGR1",193,184,149
"EGR2",34,100,123
"EHF",174,188,177
"ELF1",172,28,27
"ELK1",14,134,147
"ELK3",108,66,99
"ELK4",17,150,77
"EPAS1",97,55,113
"ESR1",138,116,72
"ESR2",164,57,106
"ESRRA",85,14,19
"ETS2",191,119,97
"ETV1",54,37,14
"ETV5",15,53,112
"ETV6",154,194,193
"ETV7",46,164,140
"FOS",132,58,175
"FOSL1",136,85,166
"FOSL2",58,48,7
"FOXA1",194,156,187
"FOXA2",104,11,107
"FOXD2",66,20,28
"FOXG1",72,30,17
"FOXH1",107,87,50
"FOXK1",156,73,54
"FOXM1",31,154,63
"FOXO3",8,35,34
"FOXP1",36,127,31
"FOXP2",29,54,40
"FOXP3",145,113,85
"GATA1",76,83,44
"GATA2",157,111,152
"GATA3",57,130,65
"GATA4",71,64,133
"GLI2",26,84,70
"GLIS1",64,59,35
"GMEB1",140,65,93
"GMEB2",178,62,55
"GRHL2",135,50,16
"GTF2B",39,192,192
"GTF2I",103,126,169
"HEY1",35,60,108
"HIF1A",48,105,92
"HINFP",180,107,146
"HNF1B",102,90,119
"HNF4A",82,92,32
"HNF4G",24,101,154
"HOXA1",182,153,160
"HOXA4",143,190,190
"HOXA6",133,148,173
"HOXB13",67,102,137
"HOXC6",23,173,138
"HSF1",134,41,42
"HSF2",59,176,132
"IRF1",51,108,150
"IRF2",128,151,96
"IRF3",91,172,182
"IRF4",45,94,45
"JUN",124,143,78
"JUNB",68,43,162
"JUND",129,193,194
"KLF1",1,51,179
"KLF10",81,91,21
"KLF3",169,186,101
"KLF4",5,175,188
"KLF9",18,159,145
"KMT2A",109,36,25
"LHX2",83,167,159
"MAF",122,141,127
"MAFF",92,4,51
"MAFK",100,93,109
"MECOM",49,106,125
"MEF2A",146,33,111
"MEF2C",177,169,82
"MEIS1",187,22,38
"MITF",183,69,20
"MNT",47,118,26
"MXI1",93,96,30
"MYB",53,56,91
"MYBL2",186,40,59
"MYC",113,117,142
"MYOD1",185,27,39
"NANOG",9,70,118
"NFAT5",52,13,41
"NFATC1",117,88,128
"NFE2",149,26,130
"NFIC",148,61,98
"NFYA",189,149,60
"NFYB",77,133,115
"NKX2-1",166,7,4
"NR2C2",32,103,104
"NR2F2",116,152,186
"NRF1",22,24,18
"ONECUT1",55,74,83
"OTX2",144,162,90
"PAX5",69,80,141
"PBX1",120,3,36
"PBX3",170,75,10
"PGR",171,181,131
"POU2F1",121,72,129
"POU2F2",74,19,13
"PPARG",127,78,102
"PRDM1",173,112,184
"PRDM14",155,157,134
"RARG",65,52,68
"RBPJ",87,158,181
"RELA",25,177,87
"REST",98,147,116
"RFX2",30,15,22
"RFX5",110,182,121
"RUNX1",96,42,8
"RUNX2",94,45,103
"RUNX3",119,131,178
"RXRA",150,97,155
"RXRG",19,122,47
"SETDB1",50,79,71
"SIX5",115,168,191
"SMAD3",4,139,37
"SOX17",62,34,49
"SP1",37,16,5
"SP4",21,104,172
"SPI1",130,121,163
"SPIB",11,68,29
"SREBF1",158,67,110
"SRF",90,144,81
"STAT1",84,155,117
"STAT2",165,170,164
"STAT3",179,145,88
"STAT4",105,38,89
"STAT5A",27,180,52
"STAT5B",73,99,95
"TBP",89,115,9
"TCF12",111,110,171
"TCF21",40,49,80
"TCF3",10,191,161
"TCF4",41,125,76
"TCF7L2",153,120,86
"TEAD4",101,136,122
"TFAP2A",44,21,2
"TFAP2C",20,17,43
"TFAP4",3,95,69
"TFDP1",56,6,12
"THAP1",142,63,24
"TP63",88,114,33
"TP73",131,146,136
"USF1",168,138,156
"USF2",2,81,151
"VDR",80,71,139
"VEZF1",6,29,143
"XBP1",86,160,120
"YY1",190,183,79
"ZBTB33",139,123,176
"ZBTB7A",192,142,189
"ZBTB7B",160,140,75
"ZEB1",184,132,48
"ZFP42",176,171,61
"ZFX",106,185,167
"ZKSCAN1",167,18,105
"ZNF143",13,46,73
"ZNF263",60,31,180
"ZNF384",42,163,165
"ZNF76",112,10,135
