"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",86,96,24
"AR",27,19,72
"ARID3A",54,177,38
"ARNT",56,8,137
"ARNTL",131,141,73
"ASCL2",51,120,52
"ATF1",159,108,175
"ATF2",165,116,181
"ATF3",37,25,125
"BACH1",150,92,174
"BACH2",78,35,67
"BARX2",16,127,100
"BATF",101,155,103
"BCL11A",32,161,63
"BCL6",155,175,168
"BHLHE40",19,110,36
"CEBPA",67,21,37
"CEBPD",3,31,30
"CLOCK",65,55,11
"CTCF",178,171,173
"E2F2",38,11,3
"E2F3",100,5,31
"E2F4",108,70,117
"E2F6",135,104,15
"E2F7",58,26,13
"E2F8",167,81,9
"EBF1",166,36,143
"EGR1",138,65,107
"EGR2",118,27,28
"EHF",177,124,166
"ELF1",13,15,112
"ELK1",111,76,119
"ELK3",75,50,23
"ELK4",113,146,94
"EPAS1",115,48,4
"ESR1",43,40,32
"ESR2",110,115,35
"ESRRA",14,9,84
"ETS2",163,82,169
"ETV1",49,24,74
"ETV5",7,74,108
"ETV6",179,174,182
"ETV7",106,112,51
"FOS",129,88,66
"FOSL1",11,73,129
"FOSL2",89,2,58
"FOXD2",76,18,68
"FOXH1",176,106,153
"FOXK1",140,169,149
"FOXM1",157,102,150
"FOXO3",48,17,14
"FOXP1",144,109,48
"FOXP2",9,64,155
"FOXP3",102,139,126
"GATA1",90,99,57
"GATA2",85,84,163
"GATA3",26,4,128
"GATA4",63,103,80
"GLI2",119,41,87
"GLIS1",84,32,82
"GMEB1",66,57,118
"GMEB2",47,71,8
"GRHL2",182,117,145
"GTF2B",172,182,86
"GTF2I",132,38,41
"HEY1",4,75,59
"HIF1A",20,143,141
"HINFP",15,147,69
"HNF1B",133,160,2
"HNF4A",57,1,50
"HNF4G",12,78,61
"HOXA1",87,113,146
"HOXA4",164,95,157
"HOXB13",74,93,75
"HOXC6",124,142,161
"HSF1",1,14,89
"HSF2",173,125,139
"IRF2",139,130,83
"IRF3",134,114,170
"IRF4",154,162,144
"JUN",18,83,97
"JUNB",98,129,25
"JUND",183,180,183
"KLF1",8,16,17
"KLF10",45,157,78
"KLF3",141,148,180
"KLF4",158,67,171
"KLF9",70,126,178
"KMT2A",25,7,104
"LHX2",107,49,164
"MAF",151,98,160
"MAFF",5,91,33
"MAFK",97,53,56
"MECOM",147,163,159
"MEF2A",105,56,138
"MEF2C",64,86,111
"MEIS1",31,33,43
"MITF",68,42,176
"MNT",17,29,165
"MXI1",10,12,60
"MYB",83,105,6
"MYBL2",79,3,102
"MYC",120,166,98
"NANOG",33,173,114
"NFAT5",2,123,79
"NFATC1",61,39,18
"NFE2",128,47,148
"NFIC",35,122,133
"NFYA",96,165,147
"NFYB",44,37,156
"NKX2-1",30,145,7
"NR2C2",23,68,27
"NR2F2",41,159,99
"NRF1",28,66,154
"PAX5",104,46,101
"PAX6",91,85,46
"PBX1",160,140,152
"PBX3",88,128,113
"PGR",143,118,93
"POU2F1",93,164,91
"POU2F2",71,62,10
"PPARG",116,111,127
"PRDM1",59,90,42
"RARA",126,59,90
"RARG",46,6,21
"RBPJ",161,121,95
"RELA",122,179,158
"REST",109,107,123
"RFX2",170,77,47
"RFX5",169,183,172
"RUNX1",62,34,16
"RUNX2",136,153,124
"RUNX3",168,137,167
"RXRA",22,151,162
"RXRG",112,150,44
"SETDB1",69,158,76
"SIX5",55,54,131
"SMAD3",53,119,29
"SOX17",117,176,110
"SP1",99,72,62
"SP4",103,149,88
"SPDEF",29,28,71
"SPI1",137,170,109
"SPIB",52,23,54
"SREBF1",21,101,5
"SRF",81,134,92
"STAT1",94,60,22
"STAT2",92,87,96
"STAT3",181,172,151
"STAT4",72,63,65
"STAT5A",125,43,85
"STAT5B",24,167,40
"TBP",174,79,19
"TBX21",149,80,134
"TCF12",180,58,140
"TCF21",73,100,1
"TCF3",171,152,142
"TCF4",123,69,81
"TCF7L2",152,89,130
"TEAD4",82,144,121
"TFAP2A",6,61,106
"TFAP2C",80,52,105
"TFAP4",148,94,177
"TFDP1",77,22,70
"THAP1",34,131,34
"TP63",130,44,120
"TP73",40,45,179
"USF1",95,181,64
"USF2",60,20,115
"VDR",153,135,55
"VEZF1",50,51,53
"XBP1",114,136,136
"YY1",175,178,135
"ZBTB33",162,138,49
"ZBTB7A",39,156,45
"ZBTB7B",36,154,116
"ZEB1",145,132,132
"ZFX",121,133,39
"ZKSCAN1",142,13,20
"ZNF143",127,168,12
"ZNF263",146,97,122
"ZNF384",156,30,77
"ZNF76",42,10,26
