"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",146,129,122
"AR",9,131,38
"ARID3A",22,64,27
"ARNT",98,47,104
"ARNTL",67,81,71
"ASCL1",160,184,182
"ASCL2",84,95,93
"ATF1",174,163,145
"ATF2",180,168,185
"ATF3",8,125,1
"BACH1",170,173,151
"BACH2",82,84,65
"BARX2",107,91,97
"BATF",159,98,156
"BCL11A",10,69,79
"BCL6",124,74,88
"BHLHE40",178,76,121
"CEBPA",122,111,171
"CEBPB",126,181,159
"CEBPD",110,149,112
"CLOCK",63,22,10
"CTCF",64,103,162
"CTCFL",27,5,22
"DUX4",112,41,69
"E2F1",1,183,8
"E2F2",11,13,6
"E2F3",113,164,168
"E2F4",43,73,35
"E2F6",73,192,62
"E2F7",49,55,15
"E2F8",179,79,166
"EBF1",18,37,74
"EGR1",164,157,153
"EGR2",92,114,94
"EHF",186,189,190
"ELF1",65,6,100
"ELK1",89,45,127
"ELK3",118,161,73
"ELK4",167,150,41
"EPAS1",17,48,68
"ESR1",115,12,20
"ESR2",97,92,72
"ESRRA",20,9,9
"ETS2",131,174,106
"ETV1",154,188,173
"ETV5",51,126,34
"ETV6",191,191,191
"ETV7",85,101,117
"FOS",38,119,167
"FOSL1",171,154,52
"FOSL2",69,26,18
"FOXA1",183,34,186
"FOXA2",2,2,14
"FOXD2",60,97,32
"FOXG1",71,117,19
"FOXH1",145,66,161
"FOXK1",105,132,98
"FOXM1",102,49,125
"FOXO3",41,105,16
"FOXP1",142,158,83
"FOXP2",80,42,89
"FOXP3",141,134,130
"GATA1",188,113,84
"GATA2",134,160,102
"GATA3",37,18,59
"GATA4",103,54,75
"GLI2",104,60,49
"GLIS1",94,11,40
"GMEB1",48,39,118
"GMEB2",129,89,147
"GRHL2",6,25,2
"GTF2B",192,193,193
"GTF2I",72,109,101
"HEY1",61,57,61
"HIF1A",161,171,136
"HINFP",96,180,134
"HNF1B",181,118,165
"HNF4A",58,87,126
"HNF4G",35,115,64
"HOXA1",144,40,149
"HOXA4",135,169,188
"HOXA6",169,20,174
"HOXB13",68,102,96
"HOXC6",149,108,132
"HSF1",55,107,50
"HSF2",114,147,160
"IRF1",136,3,85
"IRF2",166,110,178
"IRF3",147,65,120
"IRF4",7,27,13
"JUN",81,162,176
"JUNB",59,46,114
"JUND",194,194,194
"KLF1",16,15,21
"KLF10",46,68,82
"KLF3",190,167,175
"KLF4",177,190,189
"KLF9",32,175,90
"KMT2A",53,116,66
"LHX2",158,145,76
"MAF",95,120,164
"MAFF",12,4,3
"MAFK",93,70,146
"MECOM",127,137,135
"MEF2A",13,31,53
"MEF2C",187,135,180
"MEIS1",29,50,44
"MITF",155,83,48
"MNT",165,43,105
"MXI1",25,36,99
"MYB",66,166,77
"MYBL2",23,88,25
"MYC",88,172,95
"MYOD1",3,86,7
"NANOG",52,170,91
"NFAT5",44,94,67
"NFATC1",153,151,92
"NFE2",21,33,60
"NFIC",140,75,46
"NFYA",109,93,109
"NFYB",111,123,113
"NKX2-1",30,32,36
"NR2C2",28,21,80
"NR2F2",148,153,138
"NRF1",57,148,45
"ONECUT1",76,51,42
"OTX2",130,112,150
"PAX5",99,152,58
"PBX1",4,10,4
"PBX3",83,130,157
"PGR",128,144,108
"POU2F1",106,7,39
"POU2F2",34,82,28
"PPARG",133,96,63
"PRDM1",100,182,139
"PRDM14",108,138,116
"RARG",42,16,57
"RBPJ",87,100,141
"RELA",125,106,158
"REST",184,127,184
"RFX2",36,63,5
"RFX5",157,159,183
"RUNX1",39,35,31
"RUNX2",33,56,24
"RUNX3",132,139,137
"RXRA",121,62,140
"RXRG",137,186,154
"SETDB1",31,128,78
"SIX5",162,146,181
"SMAD3",56,14,103
"SOX17",62,67,37
"SP1",45,178,119
"SP4",70,142,163
"SPI1",79,8,54
"SPIB",119,140,133
"SREBF1",139,122,86
"SRF",189,136,111
"STAT1",120,143,123
"STAT2",150,176,143
"STAT3",86,30,128
"STAT4",14,59,17
"STAT5A",175,187,129
"STAT5B",156,44,70
"TBP",40,133,81
"TCF12",123,185,142
"TCF21",26,28,47
"TCF3",193,80,192
"TCF4",151,52,144
"TCF7L2",173,155,155
"TEAD4",185,24,170
"TFAP2A",78,19,56
"TFAP2C",168,38,33
"TFAP4",116,165,87
"TFDP1",47,78,26
"THAP1",19,17,30
"TP63",91,85,179
"TP73",74,104,51
"USF1",5,61,29
"USF2",90,71,152
"VDR",101,53,107
"VEZF1",54,23,55
"XBP1",182,141,172
"YY1",117,124,115
"ZBTB33",138,72,110
"ZBTB7A",176,179,131
"ZBTB7B",77,77,124
"ZEB1",143,99,169
"ZFP42",172,90,148
"ZFX",163,177,187
"ZKSCAN1",15,58,12
"ZNF143",75,1,43
"ZNF263",50,29,23
"ZNF384",152,156,177
"ZNF76",24,121,11
