"","P1_2020Oct","P2_2021Mar"
"E2F4",-0.339236131534942,-0.409623095165891
"E2F7",0.430366483647354,-0.390747397309411
"JUND",0.320463433507588,0.31162947063437
"SPI1",-0.399283413942228,0.374392068287178
"STAT4",0.505770041551545,-0.308603824993258
"STAT5A",-0.397346816143409,-0.333097719726077
"TEAD4",0.367526060185537,-0.348809422339565
