"","ND251_34","ND251_MPP"
"ARNTL",-0.301348227820399,-0.301130989788632
"ASCL1",-0.302373125845356,-0.317895680958475
"EBF1",-0.301915089834382,-0.318277665245284
"GLI2",-0.30101137814564,-0.309058949478772
"NFATC1",0.302286695297563,0.301586871990593
"SP4",0.300916839953541,0.319398038898307
"STAT2",0.302040131126002,0.300949576195566
"TCF12",0.301540394287898,0.319250461507006
"TP63",-0.301014376444289,-0.310020168473266
