"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"1","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD62L","9","AHR,FOXP3,HINFP,HOXA1,PPARG,SPDEF,TFAP2C,TFAP4,USF2"
"2","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD69","2","AR,EGR2"
"3","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD254","3","ARID3A,SRF,VEZF1"
"4","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD273","5","ARID3A,SPDEF,SRF,TFAP2A,VEZF1"
"5","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD274","6","ARID3A,E2F2,E2F8,SRF,TFAP2A,VEZF1"
"6","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD314","5","ARID3A,E2F2,PGR,SRF,VEZF1"
"7","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD206","10","ARID3A,ARNTL,BCL6,E2F2,E2F8,LHX2,MYB,PGR,RFX5,VEZF1"
"8","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD66b","6","ARNT,E2F7,PGR,SPDEF,TFAP2A,XBP1"
"9","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD195","17","ARNTL,BCL6,CEBPD,CLOCK,ETV1,FOXM1,IRF2,KLF1,MEF2A,PAX5,PBX3,PGR,RFX5,STAT5B,VDR,VEZF1,XBP1"
"10","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD40","15","ARNTL,BCL6,E2F2,E2F6,E2F8,ETV1,FOXM1,KLF1,KLF9,LHX2,PAX5,STAT3,TFAP2A,VEZF1,XBP1"
"11","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD81","13","ARNTL,ATF1,BCL6,CEBPA,CLOCK,E2F8,ESR1,KLF9,PGR,POU2F1,STAT5B,TFAP2A,VEZF1"
"12","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD304","9","ARNTL,ATF1,CEBPD,CLOCK,FOXM1,PGR,TFAP2A,VEZF1,XBP1"
"13","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","HLA.DR","28","ASCL2,ATF3,BCL6,E2F2,E2F6,E2F8,EBF1,ELK1,ELK4,FOS,FOXA1,FOXK1,GATA1,GLI2,KLF3,LHX2,MAX,MEF2C,MITF,NFE2,PAX5,PBX1,REST,RXRG,SP4,TCF12,TFAP2A,TFDP1"
"14","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD39","7","ATF1,E2F1,FOS,GMEB2,IRF4,RFX5,ZNF263"
"15","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11b","31","BACH1,BACH2,BCL11A,E2F3,ETV7,FOSL1,FOSL2,GATA1,GATA2,GMEB2,HINFP,HOXA4,HSF2,KLF1,MAFF,MNT,NFATC1,NFYB,POU2F2,PPARG,RELA,RUNX2,SETDB1,SMAD3,SPDEF,TCF21,TFAP2C,TFAP4,USF1,VDR,ZNF384"
"16","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD38","2","BCL11A,ZNF384"
"17","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD95","9","BCL11A,E2F6,GATA1,HINFP,PBX1,PPARG,SPDEF,TFAP4,ZNF384"
"18","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD123","2","BHLHE40,ETV6"
"19","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD366","6","E2F2,E2F7,HIF1A,PGR,VEZF1,XBP1"
"20","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD11c","3","E2F6,GLIS1,NRF1"
"21","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD14","18","E2F6,ELK4,ESRRA,GMEB1,HNF4G,KLF1,KLF9,MAFK,MXI1,MYC,PAX5,STAT5B,TEAD4,TFAP2A,TP63,VEZF1,XBP1,ZNF143"
"22","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD107a","10","E2F6,E2F7,HINFP,HNF4G,HOXA1,PPARG,SPDEF,TFAP2A,ZEB1,ZNF384"
"23","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD19","2","FOXA1,SRF"
"24","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD279","1","FOXA1"
"25","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","KLRG1","1","FOXA1"
"26","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD25","4","HOXA1,PGR,SPDEF,SRF"
"27","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD103","1","PGR"
"28","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD117","1","PGR"
"29","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD137","2","PGR,SRF"
"30","M1_Macrophage","P1_2020Oct, P2_2021Mar, P3_2023Jan","3","CD15","1","PGR"
