"","AHR","AR","ARID3A","ARNT","ASCL2","ATF1","ATF2","ATF3","BACH2","BATF","BCL11A","BCL6","BHLHE40","CEBPA","CEBPD","CLOCK","E2F2","E2F3","E2F6","E2F7","E2F8","EBF1","EGR1","EHF","ELF1","ELK1","ELK3","ELK4","ESR1","ESR2","ETS2","ETV1","ETV6","FOS","FOSL1","FOSL2","FOXA1","FOXD2","FOXM1","FOXP1","FOXP2","GATA1","GATA2","GATA3","GATA4","GRHL2","GTF2B","GTF2I","HEY1","HIF1A","HINFP","HNF1B","HNF4A","HNF4G","HOXA1","HOXB13","HSF1","IRF2","IRF4","JUN","JUNB","JUND","KLF1","KLF10","KLF3","KLF9","MAFF","MAFK","MECOM","MEF2A","MITF","MNT","MXI1","MYB","MYC","NANOG","NFAT5","NFATC1","NFE2","NFIC","NFYA","NFYB","NKX2-1","NR2F2","PAX5","PBX1","PBX3","PGR","POU2F1","POU2F2","PPARG","RARG","RBPJ","RELA","RFX2","RFX5","RUNX1","RUNX2","RUNX3","RXRA","RXRG","SETDB1","SIX5","SMAD3","SP1","SP4","SPI1","SPIB","SRF","STAT1","STAT2","STAT4","STAT5A","STAT5B","TBP","TCF12","TCF21","TCF3","TEAD4","TFAP2A","TFAP2C","TFAP4","TFDP1","THAP1","TP63","USF1","USF2","VEZF1","XBP1","YY1","ZBTB7A","ZBTB7B","ZEB1","ZFX","ZKSCAN1","ZNF143","ZNF263","ZNF384"
"Bcell",0.568345323741007,0.323741007194245,0.133093525179856,0.496402877697842,0.471223021582734,0.737410071942446,0.877697841726619,0.503597122302158,0.223021582733813,0.611510791366906,0.579136690647482,0.471223021582734,0.47841726618705,0.298561151079137,0.352517985611511,0.377697841726619,0.0467625899280576,0.449640287769784,0.906474820143885,0.205035971223022,0.651079136690647,0.823741007194245,0.496402877697842,0.179856115107914,0.197841726618705,0.744604316546763,0.460431654676259,0.62589928057554,0.485611510791367,0.345323741007194,0.661870503597122,0.338129496402878,0.989208633093525,0.81294964028777,0.834532374100719,0.68705035971223,0.949640287769784,0.52158273381295,0.73021582733813,0.76978417266187,0.575539568345324,0.79136690647482,0.834532374100719,0.474820143884892,0.5,0.661870503597122,0.924460431654676,0.345323741007194,0.255395683453237,0.169064748201439,0.654676258992806,0.489208633093525,0.338129496402878,0.435251798561151,0.89568345323741,0.877697841726619,0.384892086330935,0.73021582733813,0.672661870503597,0.658273381294964,0.392086330935252,0.97841726618705,0.169064748201439,0.661870503597122,0.589928057553957,0.115107913669065,0.0179856115107914,0.643884892086331,0.179856115107914,0.672661870503597,0.712230215827338,0.183453237410072,0.658273381294964,0.442446043165468,0.697841726618705,0.438848920863309,0.471223021582734,0.143884892086331,0.543165467625899,0.579136690647482,0.456834532374101,0.37410071942446,0.557553956834532,0.751798561151079,0.161870503597122,0.647482014388489,0.676258992805755,0.557553956834532,0.172661870503597,0.68705035971223,0.661870503597122,0.251798561151079,0.5,0.773381294964029,0.165467625899281,0.694244604316547,0.183453237410072,0.0431654676258993,0.690647482014389,0.571942446043165,0.172661870503597,0.535971223021583,0.859712230215827,0.29136690647482,0.744604316546763,0.553956834532374,0.575539568345324,0.539568345323741,0.20863309352518,0.654676258992806,0.341726618705036,0.0179856115107914,0.726618705035971,0.233812949640288,0.140287769784173,0.384892086330935,0.111510791366906,0.906474820143885,0.244604316546763,0.575539568345324,0.68705035971223,0.62589928057554,0.294964028776978,0.719424460431655,0.298561151079137,0.856115107913669,0.514388489208633,0.190647482014388,0.607913669064748,0.496402877697842,0.640287769784173,0.424460431654676,0.190647482014388,0.453237410071942,0.237410071942446,0.60431654676259,0.446043165467626,0.471223021582734
"CD4Tcell",0.664268585131894,0.422062350119904,0.136690647482014,0.441247002398082,0.160671462829736,0.434052757793765,0.803357314148681,0.0407673860911271,0.366906474820144,0.49400479616307,0.294964028776978,0.760191846522782,0.429256594724221,0.258992805755396,0.0887290167865707,0.13189448441247,0.134292565947242,0.115107913669065,0.803357314148681,0.0719424460431655,0.800959232613909,0.875299760191847,0.350119904076739,0.851318944844125,0.558752997601918,0.726618705035971,0.103117505995204,0.673860911270983,0.215827338129496,0.726618705035971,0.961630695443645,0.381294964028777,1,0.961630695443645,0.366906474820144,0.0287769784172662,0.73621103117506,0.558752997601918,0.525179856115108,0.587529976019185,0.774580335731415,0.529976019184652,0.786570743405276,0.247002398081535,0.446043165467626,0.513189448441247,0.968824940047962,0.211031175059952,0.333333333333333,0.510791366906475,0.412470023980815,0.0335731414868106,0.306954436450839,0.407673860911271,0.767386091127098,0.503597122302158,0.556354916067146,0.894484412470024,0.160671462829736,0.556354916067146,0.49400479616307,0.990407673860911,0.354916067146283,0.280575539568345,0.748201438848921,0.326139088729017,0.155875299760192,0.438848920863309,0.760191846522782,0.784172661870504,0.170263788968825,0.484412470023981,0.0455635491606715,0.345323741007194,0.942446043165468,0.712230215827338,0.609112709832134,0.498800959232614,0.184652278177458,0.333333333333333,0.748201438848921,0.275779376498801,0.326139088729017,0.781774580335731,0.551558752997602,0.321342925659472,0.709832134292566,0.671462829736211,0.316546762589928,0.609112709832134,0.201438848920863,0.752997601918465,0.712230215827338,0.618705035971223,0.323741007194245,0.800959232613909,0.191846522781775,0.410071942446043,0.800959232613909,0.561151079136691,0.755395683453237,0.834532374100719,0.79136690647482,0.498800959232614,0.585131894484412,0.877697841726619,0.827338129496403,0.220623501199041,0.0959232613908873,0.446043165467626,0.745803357314149,0.539568345323741,0.326139088729017,0.544364508393285,0.637889688249401,0.800959232613909,0.520383693045564,0.988009592326139,0.645083932853717,0.28537170263789,0.81294964028777,0.124700239808153,0.362110311750599,0.52757793764988,0.369304556354916,0.484412470023981,0.695443645083933,0.815347721822542,0.431654676258993,0.920863309352518,0.251798561151079,0.460431654676259,0.350119904076739,0.556354916067146,0.424460431654676,0.354916067146283,0.182254196642686,0.49400479616307
"CD8Tcell",0.652278177458034,0.290167865707434,0.482014388489209,0.333333333333333,0.299760191846523,0.378896882494005,0.652278177458034,0.0935251798561151,0.431654676258993,0.609112709832134,0.438848920863309,0.520383693045564,0.323741007194245,0.498800959232614,0.297362110311751,0.227817745803357,0.220623501199041,0.398081534772182,0.73621103117506,0.412470023980815,0.424460431654676,0.841726618705036,0.621103117505995,0.796163069544364,0.311750599520384,0.621103117505995,0.362110311750599,0.717026378896882,0.443645083932854,0.556354916067146,0.81294964028777,0.354916067146283,0.935251798561151,0.918465227817746,0.306954436450839,0.352517985611511,0.323741007194245,0.489208633093525,0.314148681055156,0.565947242206235,0.772182254196643,0.678657074340528,0.556354916067146,0.515587529976019,0.585131894484412,0.503597122302158,0.930455635491607,0.383693045563549,0.172661870503597,0.556354916067146,0.609112709832134,0.28537170263789,0.436450839328537,0.633093525179856,0.688249400479616,0.573141486810552,0.470023980815348,0.585131894484412,0.0959232613908873,0.741007194244604,0.436450839328537,0.918465227817746,0.287769784172662,0.402877697841727,0.86810551558753,0.556354916067146,0.446043165467626,0.266187050359712,0.796163069544365,0.534772182254197,0.529976019184652,0.311750599520384,0.146282973621103,0.460431654676259,0.935251798561151,0.577937649880096,0.467625899280576,0.510791366906475,0.616306954436451,0.314148681055156,0.249400479616307,0.297362110311751,0.388489208633094,0.611510791366906,0.666666666666667,0.158273381294964,0.781774580335731,0.688249400479616,0.261390887290168,0.49400479616307,0.393285371702638,0.453237410071942,0.62589928057554,0.3189448441247,0.371702637889688,0.839328537170264,0.350119904076739,0.3189448441247,0.731414868105516,0.292565947242206,0.913669064748201,0.302158273381295,0.743405275779377,0.438848920863309,0.407673860911271,0.338129496402878,0.671462829736211,0.302158273381295,0.0671462829736211,0.436450839328537,0.652278177458034,0.338129496402878,0.695443645083933,0.62589928057554,0.642685851318945,0.693045563549161,0.717026378896882,0.913669064748201,0.62589928057554,0.37410071942446,0.496402877697842,0.0935251798561151,0.568345323741007,0.350119904076739,0.709832134292566,0.223021582733813,0.489208633093525,0.424460431654676,0.640287769784173,0.906474820143885,0.60431654676259,0.700239808153477,0.534772182254197,0.71462829736211,0.232613908872902,0.431654676258993,0.41726618705036,0.491606714628297
"DendriticCell",0.58273381294964,0.37410071942446,0.640287769784173,0.0971223021582734,0.359712230215827,0.370503597122302,0.971223021582734,0.474820143884892,0.212230215827338,0.776978417266187,0.0431654676258993,0.525179856115108,0.169064748201439,0.244604316546763,0.665467625899281,0.190647482014388,0.464028776978417,0.370503597122302,0.744604316546763,0.194244604316547,0.607913669064748,0.528776978417266,0.938848920863309,0.956834532374101,0.230215827338129,0.622302158273381,0.258992805755396,0.503597122302158,0.492805755395683,0.399280575539568,0.856115107913669,0.701438848920863,0.902877697841727,0.629496402877698,0.47841726618705,0.305755395683453,0.766187050359712,0.579136690647482,0.302158273381295,0.482014388489209,0.485611510791367,0.194244604316547,0.284172661870504,0.223021582733813,0.471223021582734,0.618705035971223,0.845323741007194,0.348920863309353,0.154676258992806,0.838129496402878,0.384892086330935,0.514388489208633,0.579136690647482,0.525179856115108,0.514388489208633,0.517985611510791,0.751798561151079,0.323741007194245,0.464028776978417,0.147482014388489,0.392086330935252,0.780575539568345,0.154676258992806,0.517985611510791,0.870503597122302,0.780575539568345,0.248201438848921,0.633093525179856,0.334532374100719,0.773381294964029,0.352517985611511,0.510791366906475,0.532374100719424,0.241007194244604,0.348920863309353,0.456834532374101,0.633093525179856,0.546762589928058,0.413669064748201,0.737410071942446,0.334532374100719,0.744604316546763,0.320143884892086,0.91726618705036,0.539568345323741,0.579136690647482,0.179856115107914,0.338129496402878,0.733812949640288,0.553956834532374,0.741007194244604,0.442446043165468,0.848920863309353,0.5,0.633093525179856,0.39568345323741,0.151079136690647,0.26978417266187,0.715827338129496,0.359712230215827,0.816546762589928,0.0971223021582734,0.309352517985611,0.906474820143885,0.863309352517986,0.503597122302158,0.766187050359712,0.622302158273381,0.58273381294964,0.751798561151079,0.679856115107914,0.215827338129496,0.87410071942446,0.827338129496403,0.615107913669065,0.651079136690647,0.201438848920863,0.600719424460432,0.615107913669065,0.327338129496403,0.255395683453237,0.169064748201439,0.410071942446043,0.12589928057554,0.661870503597122,0.68705035971223,0.773381294964029,0.406474820143885,0.503597122302158,0.744604316546763,0.697841726618705,0.205035971223022,0.79136690647482,0.546762589928058,0.0899280575539568,0.564748201438849,0.586330935251799,0.129496402877698
"Endothelial",0.100719424460432,0.0359712230215827,0.122302158273381,0.223021582733813,0.244604316546763,0.79136690647482,0.719424460431655,0.338129496402878,0.0143884892086331,0.820143884892086,0.690647482014389,0.661870503597122,0.928057553956835,0.381294964028777,0.388489208633094,0.561151079136691,0.726618705035971,0.748201438848921,0.438848920863309,0.151079136690647,0.827338129496403,0.467625899280576,0.165467625899281,0.863309352517986,0.41726618705036,0.964028776978417,0.712230215827338,0.115107913669065,0.158273381294964,0.237410071942446,0.899280575539568,0.762589928057554,0.992805755395683,0.733812949640288,0.0863309352517986,0.920863309352518,0.676258992805755,0.266187050359712,0.841726618705036,0.654676258992806,0.294964028776978,0.546762589928058,0.532374100719424,0.258992805755396,0.431654676258993,0.0575539568345324,0.97841726618705,0.323741007194245,0.496402877697842,0.0215827338129496,0.81294964028777,0.956834532374101,0.741007194244604,0.330935251798561,0.201438848920863,0.935251798561151,0.460431654676259,0.805755395683453,0.366906474820144,0.618705035971223,0.575539568345324,1,0.640287769784173,0.913669064748201,0.971223021582734,0.446043165467626,0.0431654676258993,0.079136690647482,0.949640287769784,0.697841726618705,0.194244604316547,0.287769784172662,0.58273381294964,0.0935251798561151,0.589928057553957,0.215827338129496,0.251798561151079,0.0287769784172662,0.172661870503597,0.848920863309353,0.352517985611511,0.424460431654676,0.280575539568345,0.553956834532374,0.755395683453237,0.453237410071942,0.611510791366906,0.517985611510791,0.00719424460431655,0.23021582733813,0.633093525179856,0.877697841726619,0.76978417266187,0.985611510791367,0.539568345323741,0.647482014388489,0.568345323741007,0.410071942446043,0.884892086330935,0.316546762589928,0.906474820143885,0.834532374100719,0.60431654676259,0.402877697841727,0.942446043165468,0.482014388489209,0.784172661870504,0.892086330935252,0.489208633093525,0.870503597122302,0.798561151079137,0.0647482014388489,0.62589928057554,0.705035971223022,0.856115107913669,0.20863309352518,0.0719424460431655,0.776978417266187,0.179856115107914,0.107913669064748,0.273381294964029,0.359712230215827,0.503597122302158,0.525179856115108,0.474820143884892,0.136690647482014,0.39568345323741,0.597122302158273,0.302158273381295,0.669064748201439,0.345323741007194,0.309352517985612,0.510791366906475,0.143884892086331,0.129496402877698,0.37410071942446,0.683453237410072,0.18705035971223
"M1_Macrophage",0.630695443645084,0.491606714628297,0.6810551558753,0.683453237410072,0.0335731414868106,0.515587529976019,0.959232613908873,0.0479616306954436,0.661870503597122,0.661870503597122,0.15347721822542,0.700239808153477,0.398081534772182,0.882494004796163,0.227817745803357,0.172661870503597,0.155875299760192,0.103117505995204,0.892086330935252,0.249400479616307,0.482014388489209,0.376498800959233,0.426858513189448,0.925659472422062,0.0287769784172662,0.58273381294964,0.273381294964029,0.776978417266187,0.443645083932854,0.239808153477218,0.84652278177458,0.546762589928058,0.995203836930456,0.832134292565947,0.623501199040767,0.390887290167866,0.743405275779377,0.558752997601918,0.182254196642686,0.146282973621103,0.362110311750599,0.54916067146283,0.371702637889688,0.184652278177458,0.49400479616307,0.160671462829736,0.985611510791367,0.438848920863309,0.225419664268585,0.695443645083933,0.501199040767386,0.486810551558753,0.71462829736211,0.568345323741007,0.894484412470024,0.244604316546763,0.294964028776978,0.479616306954436,0.290167865707434,0.414868105515588,0.832134292565947,0.997601918465228,0.254196642685851,0.311750599520384,0.618705035971223,0.760191846522782,0.0911270983213429,0.0911270983213429,0.904076738609113,0.669064748201439,0.194244604316547,0.366906474820144,0.515587529976019,0.211031175059952,0.6810551558753,0.350119904076739,0.479616306954436,0.393285371702638,0.808153477218225,0.304556354916067,0.642685851318945,0.143884892086331,0.177458033573141,0.738609112709832,0.599520383693046,0.383693045563549,0.330935251798561,0.6810551558753,0.669064748201439,0.328537170263789,0.918465227817746,0.635491606714628,0.800959232613909,0.676258992805755,0.321342925659472,0.908872901678657,0.0311750599520384,0.225419664268585,0.750599520383693,0.26378896882494,0.856115107913669,0.175059952038369,0.731414868105516,0.573141486810552,0.832134292565947,0.446043165467626,0.822541966426859,0.453237410071942,0.0767386091127098,0.501199040767386,0.616306954436451,0.323741007194245,0.726618705035971,0.637889688249401,0.666666666666667,0.580335731414868,0.0959232613908873,0.892086330935252,0.613908872901679,0.129496402877698,0.851318944844125,0.3621103117506,0.170263788968825,0.254196642685851,0.62589928057554,0.894484412470024,0.592326139088729,0.508393285371703,0.407673860911271,0.952038369304556,0.774580335731415,0.443645083932854,0.474820143884892,0.772182254196643,0.489208633093525,0.378896882494005,0.501199040767386,0.589928057553957
"M2_Macrophage",0.568345323741007,0.532374100719424,0.597122302158273,0.97841726618705,0.0575539568345324,0.438848920863309,0.172661870503597,0.0359712230215827,0.611510791366906,0.856115107913669,0.258992805755396,0.37410071942446,0.179856115107914,0.079136690647482,0.697841726618705,0.359712230215827,0.223021582733813,0.906474820143885,0.237410071942446,0.0143884892086331,0.942446043165468,0.726618705035971,0.215827338129496,0.165467625899281,0.834532374100719,0.899280575539568,0.143884892086331,0.345323741007194,0.302158273381295,0.129496402877698,0.561151079136691,0.863309352517986,0.848920863309353,0.820143884892086,0.546762589928058,0.23021582733813,0.136690647482014,0.280575539568345,0.892086330935252,0.81294964028777,0.79136690647482,0.330935251798561,0.870503597122302,0.39568345323741,0.100719424460432,0.244604316546763,0.525179856115108,0.669064748201439,0.266187050359712,0.618705035971223,0.640287769784173,0.60431654676259,0.388489208633094,0.676258992805755,0.489208633093525,0.0215827338129496,0.964028776978417,0.517985611510791,0.589928057553957,0.424460431654676,0.776978417266187,0.755395683453237,0.784172661870504,0.323741007194245,0.402877697841727,1,0.0863309352517986,0.928057553956835,0.971223021582734,0.741007194244604,0.41726618705036,0.453237410071942,0.0647482014388489,0.309352517985612,0.76978417266187,0.762589928057554,0.539568345323741,0.510791366906475,0.949640287769784,0.575539568345324,0.0719424460431655,0.992805755395683,0.410071942446043,0.985611510791367,0.20863309352518,0.654676258992806,0.474820143884892,0.158273381294964,0.381294964028777,0.553956834532374,0.827338129496403,0.690647482014389,0.798561151079137,0.503597122302158,0.58273381294964,0.446043165467626,0.884892086330935,0.496402877697842,0.733812949640288,0.18705035971223,0.287769784172662,0.62589928057554,0.661870503597122,0.748201438848921,0.841726618705036,0.0935251798561151,0.107913669064748,0.956834532374101,0.913669064748201,0.251798561151079,0.712230215827338,0.460431654676259,0.273381294964029,0.366906474820144,0.338129496402878,0.467625899280576,0.920863309352518,0.877697841726619,0.719424460431655,0.294964028776978,0.316546762589928,0.0431654676258993,0.705035971223022,0.115107913669065,0.805755395683453,0.194244604316547,0.633093525179856,0.647482014388489,0.683453237410072,0.352517985611511,0.0287769784172662,0.201438848920863,0.151079136690647,0.482014388489209,0.431654676258993,0.122302158273381,0.00719424460431655,0.935251798561151
"Malignant_epithelial",0.350119904076739,0.647482014388489,0.390887290167866,0.647482014388489,0.292565947242206,0.239808153477218,0.760191846522782,0.882494004796163,0.585131894484412,0.647482014388489,0.364508393285372,0.486810551558753,0.383693045563549,0.75779376498801,0.333333333333333,0.309352517985612,0.23021582733813,0.258992805755396,0.28537170263789,0.383693045563549,0.774580335731415,0.47242206235012,0.510791366906475,0.594724220623501,0.26378896882494,0.577937649880096,0.39568345323741,0.50599520383693,0.520383693045564,0.194244604316547,0.546762589928058,0.741007194244604,0.997601918465228,0.844124700239808,0.364508393285372,0.237410071942446,0.513189448441247,0.529976019184652,0.836930455635492,0.6810551558753,0.539568345323741,0.712230215827338,0.589928057553957,0.278177458033573,0.54916067146283,0.342925659472422,0.788968824940048,0.151079136690647,0.398081534772182,0.268585131894484,0.712230215827338,0.54916067146283,0.304556354916067,0.673860911270983,0.532374100719424,0.3621103117506,0.79136690647482,0.697841726618705,0.146282973621103,0.570743405275779,0.275779376498801,0.892086330935252,0.172661870503597,0.755395683453237,0.470023980815348,0.712230215827338,0.455635491606715,0.390887290167866,0.558752997601919,0.623501199040767,0.484412470023981,0.556354916067146,0.503597122302158,0.390887290167866,0.738609112709832,0.328537170263789,0.482014388489209,0.645083932853717,0.465227817745803,0.235011990407674,0.551558752997602,0.18705035971223,0.484412470023981,0.407673860911271,0.705035971223022,0.479616306954436,0.561151079136691,0.429256594724221,0.553956834532374,0.517985611510791,0.673860911270983,0.597122302158273,0.640287769784173,0.220623501199041,0.052757793764988,0.71462829736211,0.220623501199041,0.196642685851319,0.45083932853717,0.709832134292566,0.705035971223022,0.26378896882494,0.690647482014389,0.597122302158273,0.705035971223022,0.453237410071942,0.961630695443645,0.431654676258993,0.443645083932854,0.45083932853717,0.671462829736211,0.215827338129496,0.302158273381295,0.261390887290168,0.666666666666667,0.856115107913669,0.302158273381295,0.947242206235012,0.637889688249401,0.398081534772182,0.652278177458034,0.0959232613908873,0.810551558752998,0.434052757793765,0.206235011990408,0.184652278177458,0.75779376498801,0.589928057553957,0.537170263788969,0.383693045563549,0.793764988009592,0.611510791366906,0.422062350119904,0.462829736211031,0.484412470023981,0.247002398081535,0.92326139088729,0.247002398081535
"Malignant_mesothelial",0.690647482014389,0.129496402877698,0.453237410071942,0.410071942446043,0.151079136690647,0.273381294964029,0.913669064748201,0.381294964028777,0.496402877697842,0.841726618705036,0.0935251798561151,0.194244604316547,0.0647482014388489,0.316546762589928,0.705035971223022,0.0863309352517986,0.302158273381295,0.618705035971223,0.863309352517986,0.115107913669065,0.683453237410072,0.467625899280576,0.215827338129496,0.755395683453237,0.474820143884892,0.97841726618705,0.0359712230215827,0.589928057553957,0.431654676258993,0.76978417266187,0.964028776978417,0.179856115107914,0.992805755395683,0.762589928057554,0.0143884892086331,0.359712230215827,0.143884892086331,0.640287769784173,0.388489208633094,0.553956834532374,0.460431654676259,0.482014388489209,0.611510791366906,0.122302158273381,0.266187050359712,0.856115107913669,0.985611510791367,0.956834532374101,0.798561151079137,0.546762589928058,0.805755395683453,0.517985611510791,0.489208633093525,0.597122302158273,0.726618705035971,0.575539568345324,0.81294964028777,0.107913669064748,0.877697841726619,0.884892086330935,0.251798561151079,1,0.165467625899281,0.928057553956835,0.719424460431655,0.568345323741007,0.697841726618705,0.237410071942446,0.971223021582734,0.287769784172662,0.345323741007194,0.60431654676259,0.00719424460431655,0.136690647482014,0.510791366906475,0.561151079136691,0.776978417266187,0.0215827338129496,0.0719424460431655,0.712230215827338,0.330935251798561,0.834532374100719,0.079136690647482,0.676258992805755,0.899280575539568,0.633093525179856,0.949640287769784,0.352517985611511,0.172661870503597,0.39568345323741,0.158273381294964,0.654676258992806,0.294964028776978,0.935251798561151,0.503597122302158,0.223021582733813,0.18705035971223,0.906474820143885,0.366906474820144,0.62589928057554,0.532374100719424,0.0287769784172662,0.41726618705036,0.309352517985612,0.23021582733813,0.669064748201439,0.748201438848921,0.733812949640288,0.0503597122302158,0.37410071942446,0.892086330935252,0.280575539568345,0.741007194244604,0.438848920863309,0.244604316546763,0.827338129496403,0.100719424460432,0.201438848920863,0.784172661870504,0.870503597122302,0.661870503597122,0.539568345323741,0.0431654676258993,0.258992805755396,0.20863309352518,0.58273381294964,0.920863309352518,0.647482014388489,0.0575539568345324,0.446043165467626,0.338129496402878,0.424460431654676,0.79136690647482,0.402877697841727,0.848920863309353,0.942446043165468,0.820143884892086,0.525179856115108
"MSC_Fibroblast",0.118705035971223,0.20863309352518,0.352517985611511,0.579136690647482,0.266187050359712,0.39568345323741,0.924460431654676,0.215827338129496,0.122302158273381,0.517985611510791,0.388489208633093,0.273381294964029,0.528776978417266,0.31294964028777,0.514388489208633,0.58273381294964,0.258992805755396,0.805755395683453,0.492805755395683,0.553956834532374,0.946043165467626,0.514388489208633,0.848920863309353,0.410071942446043,0.10431654676259,0.852517985611511,0.320143884892086,0.561151079136691,0.399280575539568,0.654676258992806,0.352517985611511,0.428057553956835,0.960431654676259,0.438848920863309,0.550359712230216,0.381294964028777,0.784172661870504,0.456834532374101,0.575539568345324,0.474820143884892,0.690647482014388,0.564748201438849,0.597122302158273,0.215827338129496,0.406474820143885,0.428057553956835,0.956834532374101,0.442446043165468,0.273381294964029,0.233812949640288,0.748201438848921,0.89568345323741,0.5,0.834532374100719,0.557553956834532,0.597122302158273,0.0287769784172662,0.550359712230216,0.546762589928058,0.62589928057554,0.863309352517986,0.985611510791367,0.0323741007194245,0.877697841726619,0.805755395683453,0.543165467625899,0.276978417266187,0.633093525179856,0.643884892086331,0.579136690647482,0.489208633093525,0.5,0.366906474820144,0.23021582733813,0.579136690647482,0.568345323741007,0.863309352517986,0.471223021582734,0.190647482014388,0.654676258992806,0.366906474820144,0.284172661870504,0.100719424460432,0.647482014388489,0.388489208633093,0.41726618705036,0.52158273381295,0.79136690647482,0.219424460431655,0.47841726618705,0.830935251798561,0.564748201438849,0.327338129496403,0.877697841726619,0.226618705035971,0.525179856115108,0.305755395683453,0.442446043165468,0.241007194244604,0.758992805755396,0.528776978417266,0.298561151079137,0.309352517985611,0.672661870503597,0.964028776978417,0.866906474820144,0.866906474820144,0.26978417266187,0.705035971223022,0.902877697841727,0.640287769784173,0.107913669064748,0.388489208633094,0.219424460431655,0.356115107913669,0.528776978417266,0.636690647482014,0.701438848920863,0.539568345323741,0.258992805755396,0.705035971223022,0.388489208633094,0.0719424460431655,0.392086330935252,0.464028776978417,0.449640287769784,0.18705035971223,0.755395683453237,0.701438848920863,0.449640287769784,0.589928057553957,0.266187050359712,0.737410071942446,0.550359712230216,0.0611510791366906,0.58273381294964,0.679856115107914,0.39568345323741
