"","P1_2020Oct","P3_2023Jan"
"ESR2",0.301644895984519,-0.49155722326454
"FOXK1",-0.414529914529914,-0.438086303939962
"GATA4",0.313578455087889,0.313508442776735
"NANOG",0.31317529430737,0.325328330206379
"PAX5",0.300354781486857,0.391369606003752
"REST",-0.411949685534591,0.429643527204503
"RFX5",0.442106111917433,-0.343714821763602
