Cell_type
LT-HSC HLF
HSC HIST1H2AC
HSC WNT11
HSC CACNB2
HSC MYADM-CD97
ST-HSC PBX1
LMPP CDK6-FLT3
MPP SPINK2-CD99
MPP Ribo-high
pre-MEP
MEP-MKP
ERP
BMCP
ML-Gran
MultiLin-ATAC
pre-Gran CP
MDP-pDC
MDP-2 GPR133
CD14-Mono
LMPP PRSSI
LMPP LSAMP
CLP
pre-PC
LMPP Naive T-cell
