"Cell Type","Sample Name","AHR","AR","ARID3A","ARNT","ARNTL","ASCL1","ASCL2","ATF1","ATF2","ATF3","BACH1","BACH2","BARX2","BATF","BCL11A","BCL6","BHLHE40","CEBPA","CEBPB","CEBPD","CLOCK","CTCF","CTCFL","DUX4","E2F1","E2F2","E2F3","E2F4","E2F6","E2F7","E2F8","EBF1","EGR1","EGR2","EHF","ELF1","ELK1","ELK3","ELK4","EPAS1","ESR1","ESR2","ESRRA","ETS2","ETV1","ETV5","ETV6","ETV7","FOS","FOSL1","FOSL2","FOXA1","FOXA2","FOXD2","FOXG1","FOXH1","FOXM1","FOXO3","FOXP1","FOXP2","FOXP3","GATA1","GATA2","GATA3","GATA4","GLI2","GLIS1","GMEB1","GMEB2","GRHL2","GTF2B","GTF2I","HEY1","HIF1A","HINFP","HNF1B","HNF4A","HNF4G","HOXA1","HOXA4","HOXA6","HOXB13","HSF1","HSF2","IRF2","IRF4","JUN","JUNB","JUND","KLF1","KLF10","KLF3","KLF4","KLF9","KMT2A","MAF","MAFF","MAFK","MAX","MECOM","MEF2A","MEF2C","MEIS1","MITF","MNT","MXI1","MYB","MYBL2","MYC","MYOD1","NANOG","NFAT5","NFATC1","NFE2","NFIC","NFYA","NFYB","NKX2-1","NR2C2","NR2F2","NRF1","ONECUT1","OTX2","PAX5","PBX1","PBX3","PGR","POU2F1","POU2F2","PPARG","PRDM1","PRDM14","RARG","RBPJ","RELA","REST","RFX2","RFX5","RUNX1","RUNX2","RUNX3","RXRA","RXRG","SETDB1","SIX5","SMAD3","SOX17","SP1","SP4","SPI1","SPIB","SRF","STAT1","STAT2","STAT3","STAT4","STAT5A","STAT5B","TBP","TCF12","TCF21","TCF3","TCF4","TCF7L2","TEAD4","TFAP2A","TFAP2C","TFAP4","TFDP1","THAP1","TP63","TP73","USF1","USF2","VDR","VEZF1","XBP1","YY1","ZBTB33","ZBTB7A","ZBTB7B","ZEB1","ZFP42","ZFX","ZKSCAN1","ZNF143","ZNF263","ZNF384","ZNF76"
"LT-HSC.HLF","ND251_34",1.51759514496785,-0.756868688384123,2.60629905033341,-1.62070314903985,1.53620182773945,1.49063299622872,-2.25442120462622,1.51772012091451,1.05769324389353,-4.15136342875877,-2.26398683959363,1.0887380598958,-1.33342873045817,-0.220866954790892,-0.995245425026505,-0.480604775558354,-0.50438021452628,-2.36978917638221,5.68819350378124,0.0769255288917798,-0.768757956204146,0.435121124732982,1.74571537790302,0.0785236892960754,-0.292065127788727,0.0885380426590468,-0.158576823165133,1.62165310753168,1.14250928809347,0.447236771591941,0.488049460101059,0.579059300639201,0.60947143655926,-3.33424271353223,-0.822368830472662,2.08951320290351,-0.470153452906324,1.77360145546287,-0.573378590160432,-1.05002339674717,-0.871529597316198,0.381101441841058,-0.0352016845884278,-0.412564351249416,1.37098654075415,-1.25622942586206,-1.27735150893441,2.39760710031159,2.01479336326753,-0.846757477842779,-1.3999061873981,0.0122357248305294,-9.21895744455993,-0.783108321819279,0.706145479586947,-1.34918715412586,1.01004758746404,-0.315435897168889,-0.314966303712054,-3.10777498438374,3.20094658375636,0.211424262385155,-2.45233465461423,5.20714969288388,-0.17582806964189,0.928913959315295,-0.11677559354657,-1.42576517308728,-0.377041186670106,-1.43899025031406,-2.35053201646693,-2.8360802760204,-0.777509728881447,-0.223008813817451,-0.187523945702125,1.50015223077066,-0.623589397170912,1.27333052063798,0.547847772207204,-1.82334217758572,1.92642339438309,0.917238992131682,-1.07672393522656,-0.761681638391871,0.591857166427428,-0.182022564285642,-0.931446368041229,0.00349994945496447,1.76584249842693,1.66461343700863,-0.424904021219223,0.439992768864864,1.35132116258132,1.48120078282277,-0.595749460934034,0.938994582976634,-0.427253187639164,-0.923035015232638,3.74714163881462,0.689633307596876,1.94954501111836,-1.5938160276702,-2.23121475193458,1.91182123090308,0.483833554543602,1.28774185758905,-1.690652114857,-0.285834497664718,-1.16838485691916,3.09496184140542,-0.0224410411386996,-1.42895939741731,1.08826021195339,1.88037341342934,-0.0176923730346638,-2.52026311108385,-1.84944084131132,-1.89710721049851,-0.813661411569801,-2.73439359009073,-0.505939491778911,-2.01636909089957,-0.830011392961522,-1.4811734941796,-1.04110302431138,0.0659690762600863,0.389536145838408,-1.04144108674864,-0.185812953030278,0.557176792452463,0.000554593147694672,-0.426170302918354,-0.0260571318714791,-0.0367236091319577,-1.0631546111306,-1.27214235355736,-1.64699124629608,1.01313916614123,0.493556725241778,1.6967328192782,1.42440954044213,-1.33757221712557,1.34310200941943,1.29183279638657,-0.617866861583724,-0.0681887813872681,0.535040393742165,2.47184597851921,-2.17525397342389,-1.94272989467998,-0.337230422281405,-0.857282582660593,1.7788953451549,-1.52822398245305,3.45859930169855,0.43243787075283,-0.0357113056885904,0.38493323121516,-1.32194263731529,-0.0458278207104361,0.355649389806179,5.49788620951894,1.29458461130485,0.270572523588609,0.358459661429504,-1.89019312005623,-4.08895006124248,-2.31300044342969,0.361922390741983,-0.960555034828015,0.721533151949036,-2.46988038530587,-0.138099143167147,-0.785445797330269,0.510443821288323,-0.115752651640814,-3.77032667975738,-0.935947264544093,1.02230723394694,-0.501230789822173,0.499228527046908,1.38441704550567,-1.34974381985987,1.43054918017111,0.314174011945791,3.61695724439111,0.908652549560793,2.08675211291654,-1.52476543312519
"LT-HSC.HLF","ND251_HSC",0.0344261843130855,-0.0947845827215287,-0.0785842647537056,0.0648468101884479,0.0466494795436257,0.0299150516889985,-0.00771692466172472,0.0745930880874921,0.190769379558434,0.00674885721318126,0.0779839188226379,-0.047369982596588,0.0785141643954118,0.00272165380705549,-0.0684464484010739,-0.0977573982152008,0.0982229841764566,0.0210513241937027,0.0625841831929025,-0.0258469557244618,-0.174538434159526,0.135402429745691,-0.129486651855131,-0.032568689654462,-0.0477021979278327,-0.181622897924688,0.125563465192646,-0.0238874243695518,0.0548292209548135,-0.0962754727859265,0.139636946308572,-0.109468360532524,0.117211817421545,-0.0140594797351272,0.236448859954393,-0.0863181478202255,0.00362623150893011,-0.032046050224359,0.0640323941346426,-0.0201112887835559,0.0128541312367212,-0.00493479709507499,-0.145481391101714,-0.00820770950526009,0.00325914861081636,-0.0408507626347308,0.262245257686396,0.0763004448416288,-0.0396213638221271,-0.0894518297485912,-0.0836567354339927,0.0106957390032722,-0.167432444676646,-0.11290605305893,-0.0800413870626758,0.0296828989791,0.10647542136546,-0.0389919334918987,0.0927692392975316,-0.0283283867638993,-0.0077540554407898,0.049614044695011,0.0379376865228915,-0.0498769696416995,-0.05535927343861,-0.0568285062484055,-0.0335256018027201,0.0150031872204167,0.019754953447131,-0.0467401198255317,0.440401975946481,0.0168591980766608,-0.0182009949491404,-0.0162158865347558,0.038878036110586,-0.0298213225322604,-0.0150711034819294,-0.0242046713835546,0.0934407861537899,0.191989703278295,0.161703347253745,0.0643881493237168,-0.0954011967001872,0.0688688422191749,0.0925521893956764,-0.0354728023433026,0.00862405182859724,-0.0166446646793683,0.533920419714138,-0.0903606718800465,-0.0464118578968015,0.158614539133258,0.213008125776254,0.10924313005244,-0.0905490965223108,0.0364441785922385,-0.110840172386165,0.0299730738753789,0.109763423535848,0.0548322891936324,-0.0668090875867116,0.113254912444371,-0.0698457301787699,0.00168230293053081,0.0180197763301624,-0.0306272663040903,0.0375983977397133,-0.0559305686957379,0.0205194430504708,-0.0804574417531209,-0.0297252134633571,-0.130559585098497,0.0389398074122024,-0.0899594541528592,-0.0526240121804168,0.0205797260383887,0.0474837982624779,-0.123108201273429,0.0382893894461297,-0.00621481466052839,-0.121866982729384,-0.0418852737321623,0.0810844555234376,-0.0443779709140536,-0.143828288759889,0.0247710660840384,0.10072837479537,-0.068785496947891,-0.0879379659252759,-0.0312857760700689,-0.0160868091664872,0.0706274035869516,-0.0744734737188115,0.0583930455038829,0.152283929588079,0.0877499819936562,-0.0933694470423694,0.128523946392188,-0.0629018728590119,-0.0545347447547408,-0.0347354234780495,0.0514709700444097,0.0565318412969264,0.0165142481920367,0.149834305484668,-0.0334035517213532,-0.056700670572072,-0.108413020864962,-0.0141677418542156,-0.0779145789350515,5.19345433884598e-05,0.0279327736119898,0.10720432157191,0.0147691950423551,0.0362520197895163,-0.0558202434914191,0.126486764679012,0.0299406126060609,0.0449468776213603,-0.0025714523184311,-0.0782401618685777,0.278546141802196,0.0904973781928711,0.0040458074289172,0.0924516055088011,-0.0709407300456012,-0.0551217123620859,0.0408852834963101,-0.132746551878518,-0.0196863054205607,0.0721624982219961,0.0381482804885214,-0.0252441026054971,-0.0237276293178613,-0.0179540514057789,-0.116635171108766,0.106030722266362,0.0476120262238599,0.0167628805856561,0.0617867338312488,-0.0151417886470802,0.110658548279556,0.0998330065912105,0.118235894912428,-0.0957961613445646,-0.0562947495552357,-0.0407018196963302,0.122253474294439,-0.0947732182578164
"LT-HSC.HLF","ND251_MPP",0.00771099277603197,-0.193791923568406,0.00227806576596917,-0.0356522706637584,0.144496035893967,0.22963644753409,0.115803173796171,-0.0767984614422797,0.239220358989012,-0.15290080318046,0.0853591852266925,-0.0130715831038667,0.106660376843649,0.00463185859344007,0.042933884489959,0.01620290814771,0.0426641013593051,0.0223458336867752,0.0305113804448395,-0.0401503742373222,-0.256521165078187,0.138621870612351,-0.0958907602464671,-0.0551839900279189,-0.0125270404866674,-0.103104626405206,0.149760992401022,-0.00920642410639957,-0.0106381678028654,-0.343937885283683,0.272377985996953,-0.24126072694418,0.132100549461338,0.00117774880314618,0.244742580439368,-0.128518935635538,0.0999285220131559,-0.089379980032213,0.00292681856777503,-0.0297741213387582,0.131644131210641,-0.0528537708570716,-0.309225585243506,-0.0261348769619149,-0.169859026744521,0.0106364773583548,0.297064096461028,0.0473881708097453,0.112811539379585,0.0201811730800284,-0.126228404460832,0.0870278575794798,-0.109879978663408,-0.18336547365376,-0.0657627087896315,-0.155484609085211,0.0181673056436291,-0.00361189897415826,0.059853761937934,-0.0689185139266909,-0.0159647975171882,0.138904518659257,0.10114526015876,-0.157421740253732,0.130382171234858,-0.152656338467047,-0.138177655068509,0.0112195541940155,-0.108591131752247,-0.160766898625367,0.467401245227373,0.168104363231222,-0.0171579009300507,-0.0293889085033219,0.05058414981366,0.0432044653302637,-0.0741808617762305,0.0295835176688982,0.112230892836748,0.229105639324853,0.23679851010219,-0.141760400234497,-0.0919334636680481,0.142176181143475,0.0634508401919434,-0.0369825107308427,0.00835033592652765,-0.00238864446364632,0.55005460523408,-0.118944638877566,0.00439021723697684,0.000425510289404486,0.0154553883155665,-0.0343746887127024,-0.135716436889827,-0.0307770099402475,-0.0385964683503133,-0.047594853282156,0.204735965518617,0.105883424323924,-0.078828689625345,-0.0315667905972522,-0.0607258489081291,-0.0966938411622438,-0.00676008224394475,0.0426260012073036,-0.085687764884258,-0.0249115302496357,0.0173904765521159,-0.0530141741887411,0.038603362835033,0.056622196951509,0.0899305324921614,-0.08196853755643,-0.0487865604524885,0.14526014740281,-0.108225775824934,-0.240791501862076,0.0126187719935533,-0.00564084316898143,-0.220335130782911,-0.0830890813680659,0.074322961774866,0.0814038243544837,-0.242052931085665,-0.124346603223637,0.147304011895572,0.0219687327285944,-0.072719926607395,0.0479886110675161,0.112160549913833,0.000472099070104001,0.000707404942242527,0.137988948370288,0.0669028611062905,-0.00869951421765556,-0.114574389843792,-0.0823347080801476,-0.0870305158212554,-0.00265644019151788,0.0506337799125203,0.150430863632853,0.141173181876202,0.0472442338676833,0.256415980333621,-0.0646376713216427,-0.0668247123360507,-0.164520152736227,0.241763148082034,0.200285253152179,0.116285874383614,-0.076561609989807,0.00546709291275974,0.0161564341198078,0.0744039582817686,-0.034393108234372,-0.00822346471258561,-0.0569363081331399,-0.159610587300611,0.286945631375706,-0.0339379928647109,0.316783410404491,-0.0453617420653357,0.00402324522316257,0.0898366017549892,-0.338218276424873,-0.0121885469960325,-0.0390967625842919,-0.161689466343415,0.00578383252502226,-0.0315394516441875,-0.0316490723039654,0.0736296096418954,-0.0527818811450558,-0.0350765710900122,0.10704514647978,-0.008814550258106,-0.109512991554756,0.119979716063434,0.230337430191759,-0.128487842250051,-0.0236103641540925,-0.0212148422307809,0.225781861336037,0.0110323225499509,0.0294938596464091,0.125716770709359,0.017398317466784,-0.0677534723045015
"HSC.HIST1H2AC","ND251_34",-0.143851168179276,-0.155656834785802,0.0689192836839113,0.00935329845696485,0.0720606814728971,0.167014116987476,0.0171665493923247,-0.133605159162692,0.283576879003363,0.0980676496700618,0.0183654765937395,-0.0791645215971102,0.114864892190822,0.070611488360079,-0.153627196421403,0.0767775376502434,0.230025010836402,0.0952068029515372,0.405316712052632,-0.192168953828387,-0.234312259501406,0.201730953245539,-0.121421458173006,-0.115127400458841,-0.0495624112266227,0.0291503068729266,0.192075190309365,-0.0882323548746513,0.136116678555584,-0.35450368078659,0.145256336143123,0.0906397872439109,0.0589973739994367,0.130492919494164,0.253733249212885,-0.12797844603661,-0.0978882363735934,-0.0930125727106801,0.113665709575431,0.0258514491382395,-0.0500781116875748,-0.16410649699678,-0.14560484710544,-0.0755956888206754,0.129722171931603,-0.161705638788427,0.275280527944001,-0.250130580798603,-0.164764367503506,-0.0532374595006199,-0.0692094408143059,0.17079345642683,-0.205035959358248,0.0223489898810917,-0.266261396038073,-0.159811202222909,0.201757081331299,0.00282000896696,0.0692470952716288,-0.00925160188772209,-0.0304470964056965,-0.221318337159841,0.0473972184859989,-0.0346949114501518,-0.0070600878920575,-0.140787657907362,-0.0449103763076702,-0.114062407088218,0.282400585461896,-0.161218194370826,0.433654454025513,0.0162066309100728,-0.0129082784223165,0.0350888228420869,-0.0786297842776192,-0.117521580952901,-0.0435703031228957,0.137380225074895,0.0234487234665887,0.0481571696673791,0.0945977242174957,0.0176515420023173,-0.12987343194076,0.121268469389935,0.0775539997233254,-0.103389325732183,0.0376795211030079,0.133654392154547,0.36761583040901,-0.170597699265389,0.118576985130496,0.163146738486333,-0.155967631259779,-0.0204153575829342,-0.101638606578206,0.102423004281926,-0.0652509469651967,-0.106197109980357,0.231645777197936,0.225747286001806,-0.00286704470885883,0.0559633779873549,-0.0637336644441838,-0.0167707908277558,0.0890289422462979,-0.0305157775384596,-0.141825715128974,0.0274840787378277,0.0853504709339771,-0.238870852491655,0.0220591952240562,-0.078959825400472,0.0764037601478831,0.10773814737022,-0.0982613771432024,-0.121600434199738,-0.0404954200291088,0.0738612841156548,-0.149976596275182,-0.0322237509503037,-0.0157965060184209,-0.162346230224271,0.0144290255868032,0.0702237723613164,-0.165792786634921,0.0715487453777766,-0.0108927581124271,-0.0232024351716402,-0.0876808135564939,-0.263585555461999,0.0569274693272695,0.0898675009978233,-0.0333281708705362,0.0663534402920482,0.225087283764173,0.158595249117641,-0.0207372933142165,0.190000006251204,-0.11687276071736,-0.0667574452224136,-0.123217812895398,-0.0116163602780594,0.0548151045845729,0.028119509848978,0.0104578244424632,-0.258046758804408,-0.168644809465519,0.0352667675800536,0.22567440084556,0.320938124248979,0.190015993500453,-0.0146671558126159,0.051459851680618,0.230319218732971,0.0659869506558559,-0.0786884857479857,0.158682188128952,0.0721595601477118,-0.172646386887806,0.144678908966678,0.00440395154622378,0.247103306831637,0.240305591665644,0.0851584367194209,0.0570104987204885,0.0896507510795398,-0.193026771558905,0.184940436502551,-0.148526476686958,0.102610300898543,-0.00544946719137223,0.00843664405182797,0.255444507726666,-0.480340979851507,0.00527837957650173,-0.00650738629056004,0.120590391993371,0.151424740337208,0.118030757199546,-0.156150523826662,-0.0390108475075354,-0.0199761328981272,0.237430740104653,0.203934623689622,-0.188581985183971,-0.0217957477373985,-0.377447947260935,0.102118878630508,-0.0365656437219607
"HSC.HIST1H2AC","ND251_HSC",-0.0265855525109603,-0.120993549157352,-0.0980598576864319,0.0580695268263298,-0.0466096791574252,0.118020612991997,-0.0342383483267813,0.0917096359857177,0.144352141759492,-0.146522847682019,0.11424772944337,-0.102231221031702,0.128178509186631,0.0178959938465665,-0.0787410497556909,-0.0859286179998615,-0.0438580873667766,-0.0476630756697573,0.124151598683499,-0.0446516188839223,-0.221351482869559,0.0347348408108087,0.0175364098171717,0.0121985918600244,-0.0752802242153522,-0.0908266360238185,0.131246792461203,-0.0873274116193979,0.152210267388819,-0.0278880801524106,0.146150234180855,0.0862694472931762,0.0759234592499322,0.040918762296614,0.230927600253663,-0.0886053383980636,-3.45573467396475e-06,-0.0552342518991657,-0.00338397183144009,-0.0424229937834359,-0.0357099335457017,-0.0109007272129773,-0.0791295983220365,0.100133059974007,0.0766118824329323,-0.0349187728156316,0.244950451301218,0.0309598895020598,0.112595746557496,-0.101441069701525,-0.124569331118965,0.286931041742119,-0.175394364972027,-0.0718103239078827,-0.0557718912118614,-0.0267161622931632,0.0488873745946009,-0.000667994586883288,0.0282753184535069,0.0850790145888331,0.0186883647704437,0.00732872289403805,-0.049677116393023,-0.0275117750271041,-0.0726579553321621,-0.137997719158938,-0.0435718381448927,0.0413475409748918,0.036778205689508,-0.111476088249759,0.44723267297278,0.0440425935355687,-0.0072254146243124,0.0445049719255488,0.0614773971597649,0.00927188862751864,-0.00196637438860227,-0.103570855477796,0.00744595901809013,0.211824773325833,0.0975857795425904,0.0102428356407644,-0.0573237501207331,0.0795664672604135,0.0801954211563026,-0.0390239360956989,0.0781841330991721,0.0175661367027561,0.506318785401679,-0.125368040910368,0.0260751839644209,0.134209044068467,0.139230928923465,0.0164779652806721,-0.0341527632608907,0.0762540251295728,0.0426103599075112,-0.111097963207131,0.0124954441853315,0.0835294355303245,0.0190969026875231,0.146838186019412,-0.0310066640427299,-0.0300549126003437,0.0267128347950181,-0.0559058046955741,-0.0424750905280719,-0.0195557208676258,-0.0634731990847303,-0.163587130567511,-0.00129116271605231,-0.00566252690168538,0.0068244733049412,-0.143466997106239,-0.0847883849445989,-0.0616830302723814,-0.05818194079656,-0.045078275535166,0.0496816215152143,0.0371793530824342,-0.0344809451265072,-0.0301342778186285,0.0181171765969231,0.00232579127180582,-0.193601152829142,0.00694979686454675,0.115023368377404,0.0289261169503272,-0.054743686799541,-0.0461230676358385,0.0293257288815205,0.0581042366155382,-0.0542294850753433,0.053194731273128,0.0334074706265151,0.0270000458235942,-0.105549120726882,0.128336269917291,-0.0768683851473281,-0.0148224695994454,-0.0322764672818729,-0.000458009055976136,0.0452954538022896,-0.0310387972820836,0.140942409308882,0.0525939764661708,-0.05326665141328,-0.0393084535844782,0.150700462528203,0.0176674311716667,0.0122555290087955,-0.0143818430142967,0.0777310404295858,0.0425509800687154,0.139120997099401,-0.0567958886537819,0.0684472444024206,-0.013762597158135,-0.0848416767472821,0.046162101580582,-0.0702333838074566,0.308542073111218,0.0713952435535156,-0.0131800114841121,0.00637877900748642,-0.101954401467416,-0.0384928927968876,0.0623471034095082,-0.144824472562505,-0.0494638880611033,-0.02285014554934,0.0462283495546386,-0.0422529724770144,0.0914519270944608,-0.0277056031159893,-0.111122117966942,0.103405927049514,0.0303779909307602,0.043045331642348,0.20491304118959,-0.0313541312075489,0.108726375718774,0.0820714081927063,0.100540428010863,-0.0723181459411382,-0.080208561996504,0.0139623691802622,0.0344849353714623,-0.0938573581780543
"HSC.HIST1H2AC","ND251_MPP",0.00115359766477206,-0.160487887738934,-0.213386785892465,0.0221806417815793,-0.12278025049364,0.087191980059232,0.120101809650151,0.155994024258022,0.121225331057804,-0.243227448956316,-0.0422554048691212,-0.0720339447060972,0.0887137103793609,0.0417560470509015,0.0279800021740786,0.00977047824810234,0.175862937481407,0.0181297279602464,0.228974581227842,-0.0249002663273522,-0.12488608413452,-0.111037268223005,-0.018904325198079,-0.0711121543865893,0.115992225713596,-0.104382080683627,0.153654658697758,0.0148530412177963,0.182075979031134,0.0817860114024722,0.157425147094383,-0.112984975139099,0.162976108956446,0.126907210629162,0.0923422969505475,0.0355141805963278,0.0837713144786919,-0.21050260948426,-0.0265261012991046,0.00384125105787847,0.0432842929408529,-0.0121289524524772,-0.221145119839021,0.0704380702705434,-0.0102517080002273,-0.00593642062129046,0.223247028927691,0.238179405326104,0.056506053146117,-0.0982872755616226,-0.148766753270927,0.0506890450486371,0.0584053148485671,-0.126446933713295,0.036151609458002,-0.0450880011678802,-0.107725330775676,-0.0477280925738035,0.113047901991358,-0.048965362043458,0.0423329809914394,0.00418127734305121,-0.0329324819024743,0.0676447827805033,-0.0920672325582825,-0.162543403932531,-0.0136145901663694,-0.0419704751228057,0.0275257054830417,-0.0410895445128861,0.403880553547875,0.147243654567249,-0.0410877313374615,0.101855796522058,0.00554035194767981,0.0263794556943788,-0.0251388678059298,-0.0582673207444892,0.158761917165008,0.193183979694635,0.107879837593995,0.0467837046547016,-0.0919943963507637,0.129501143857395,0.0707562005822924,-0.184960448186826,-0.0575921256355394,0.154931110279398,0.491235041937812,-0.0716336626903009,-0.00707723382796648,0.085296488915476,0.382694709366814,0.101681442189408,0.00880412974688799,0.0648766569077891,-0.0650480285211555,0.0380827746432615,0.13280021749303,0.0711622484300977,-0.0715180503577792,0.122479114990065,-0.0816421416845304,-0.0717142473430822,-0.0420450823360088,-0.178136073134013,-0.115603785182765,0.140071985937238,-0.0497888767927977,-0.22945314066954,-0.0745036908128057,-0.0578559290998845,0.126800974247682,-0.202545323189142,0.234201627721658,0.134316481082636,0.0755560332360098,-0.175799658009826,0.143702685918861,-0.0680151726155998,-0.141632602348051,0.00840588439969495,0.0185115924724793,-0.00710345529223083,-0.0705312467337742,0.126393005263487,0.09512708250428,-0.106855655152128,-0.115456450349934,-0.0982593982247397,-0.0419083418963625,0.096895891644258,0.110764021792744,-0.0972361438057237,0.117418210458616,-0.0305651772988474,-0.156881935520655,0.0526431308999765,-0.263790595347633,-0.118112503700223,0.16869384144607,0.00679528283956515,0.277028666778252,-0.112328691221197,0.050090701835764,0.00441045251004842,-0.0634296528172318,-0.094032222822103,-0.0455127267842037,0.0815107484261533,0.0293345096376571,0.0472610517714111,0.190269547108091,0.152532196062613,0.135736582508771,-0.180974222441346,0.0937993947382241,-0.113727450358509,-0.141504680501537,0.0233510176466009,-0.0542119336945078,0.277044535230003,-0.0234800760502311,0.116655462609979,0.0520583897848135,-0.0874464948594138,-0.0220160326088539,-0.00528295654546416,-0.271984563849126,0.151005018125818,0.0409980424434067,0.00863999050185557,-0.056657492071393,0.148813386715102,-0.085000982237831,-0.079728964239447,0.215566892658737,0.0564680321129608,-0.0191244334121631,-0.0253023404074066,0.0466857860639285,0.047975703892156,0.14393634708367,0.0795336980329791,-0.148676818488239,0.0235625119616091,-0.26654840620755,-0.0127328269637645,-0.0933026335743795
"HSC.WNT11","ND251_34",-0.0239279034110113,-0.215656502385778,-0.0975684697175735,0.0821641412543999,0.0876958560133739,-0.126802129874616,-0.0826715678915639,-0.136386499188036,0.208316818893756,-0.299147896532073,0.0214081442204467,-0.0712965973264555,-0.0489100914733806,0.291087278676436,-0.0354651864748402,0.023419080773608,0.15418209283093,0.287945937252563,-0.362521817779525,-0.123736228889027,-0.257344110137459,-0.0178962860478071,0.0273372357427934,0.0466889589796743,0.044457792134978,-0.112776690594699,-0.080163248079698,-0.149567761021456,0.185493894509453,-0.0311551313321716,0.00669041679350519,0.185280247657402,0.0713467447862203,0.106924484272817,0.273730774805852,-0.0170754576029736,0.19755478451986,-0.231377517641199,-0.0239685765491338,-0.108264525287399,0.0511684044597459,0.0600474993224717,-0.013713283432714,-0.0798533940022635,-0.0818287797332384,0.0468816462306525,0.308501640386495,0.2445758332705,0.0375497641096787,0.100114971319698,-0.241173885954532,0.344665448484382,-0.407692266826543,-0.144620791042996,-0.11388779121098,-0.0558057303758282,0.219782702377395,-0.00480955684749186,-0.0698508727854759,-0.0677081887904522,-0.103510310111552,0.120364763151368,0.0743848584426765,-0.17539583334948,0.138690285832749,-0.0468951152363352,-0.117864644145611,-0.0460142945090222,0.0943672414739982,-0.135008622206505,0.41222605066976,0.0228055538824448,-0.105905569050787,0.0394128737687848,0.103336220157934,-0.0659859490223133,0.072307962564101,-0.154982881457757,0.0889777804612749,-0.0237730841684669,0.160820961205154,0.0293967284397771,0.0307862535646665,0.215300533710792,0.0873755531714713,-0.142147898794313,0.238747048155302,-0.174544904262169,0.59939673560334,-0.142060916399962,-0.106368201694256,0.307467053722978,0.430122101506806,-0.317197241547026,-0.0515449020406487,0.08036578856482,-0.0177373730500324,-0.132171697735278,0.122023792948179,0.0599566642145717,-0.212671645503266,-0.0211458352502371,-0.0720549891139917,0.0876330530551055,0.100332275556327,-0.0579579800489405,0.127306671701397,0.0187018390149312,-0.176651550921743,-0.287405684714117,-0.0115087824946924,-0.100299738015592,-0.0600113662479838,-0.0128167825348119,0.139211534239013,-0.0254879106891474,0.0507906697868961,-0.093523901425336,0.0377097937196325,-0.0525822393123016,-0.0136414388496845,0.050348057757466,-0.196512257197562,-0.112844696985855,0.0666400573466421,0.0982546559865908,0.317535376655503,0.0725569981330887,-0.0342307715551379,-0.0161139231659481,0.132818160991858,0.139254795467282,-0.11047486550587,0.166571823981856,0.325345069990629,-0.0183315477025972,-0.226956902680052,0.0471119387919017,-0.112895634976932,-0.0806231562938686,-0.0238728340807613,0.081183758216742,0.0388763932988395,-0.193847165821567,0.030744964919064,-0.0909178318994525,0.0983780580597573,0.0547534102051907,0.0568498625281285,-0.0775044443101392,0.00585466245122139,-0.0852706867370757,0.0705108688680456,0.0193753398830524,-0.195626150222679,-0.108616621677644,0.0786603726685922,-0.177693242090353,-0.127323787424036,0.364813324676246,-0.332759226350028,0.385826463344708,0.0583128180053254,-0.102907466338029,0.147831362929826,-0.293981070084179,0.000532970795923373,0.135306044052255,-0.195231194733785,0.0797634087177746,0.036975219378425,-0.0867956586786779,0.143642057473452,-0.0640459952772642,0.0374929388273742,-0.10889264395458,0.0449476507899589,-0.00843134601718577,0.0382810166529514,0.216533974693877,0.109403112643306,0.0135207646831215,0.225316205135058,0.0829808825663207,-0.168864152112255,-0.0241128680806042,-0.534123403098252,0.317033416899777,0.142651061143935
