"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"11","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD11a","5","FOXH1,HOXB13,MAX,SOX17,SP1"
"12","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD19.1","69","AHR,AR,ASCL2,CEBPD,CTCF,CTCFL,E2F1,E2F2,E2F3,EGR1,EGR2,ELF2,ELK4,ESRRA,FOXA2,FOXG1,FOXO3,FOXP1,FOXP3,GATA1,GATA3,GATA6,GFI1B,GLIS1,GMEB2,GRHL2,HES1,HOXA1,HOXA4,HOXA6,HSF2,IRF3,JUNB,KLF10,KLF3,KLF9,KMT2A,LHX2,MAFF,MECOM,MEIS1,MNT,MYB,MYBL2,NFATC1,NKX2-1,NR3C1,NR5A2,ONECUT1,PBX3,RARA,RARG,RELA,REST,RFX5,RUNX3,RXRA,SETDB1,SIX5,SP1,SP2,STAT1,STAT2,STAT4,TAL1,TBX21,TP63,ZNF263,ZNF384"
"13","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD35","109","AHR,AR,ASCL2,BATF,BCL6,CDX2,CEBPA,CEBPD,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,EGR1,EGR2,ELK1,ELK3,ELK4,ESRRA,ETV5,FOS,FOSL1,FOXA2,FOXG1,FOXH1,FOXO3,FOXP1,FOXP3,GATA1,GATA3,GATA4,GFI1B,GLIS1,GMEB1,GMEB2,GRHL2,GTF2I,HES1,HEY1,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF1,IRF3,JUNB,KLF10,KLF3,KLF9,KMT2A,LHX2,MAFF,MAX,MECOM,MEF2A,MEIS1,MITF,MNT,MYB,MYBL2,MYC,NANOG,NFATC1,NKX2-1,NR3C1,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX3,PRDM14,RARA,RARG,RELA,REST,RFX5,RUNX3,RXRA,SETDB1,SIX5,SMAD3,SOX17,SP1,SP2,SPIB,SREBF1,STAT1,STAT2,STAT4,STAT5B,T,TAL1,TBX21,TCF4,TCF7L2,TP63,TP73,VDR,ZNF263,ZNF384"
"14","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD371","171","AHR,AR,ARNTL,ASCL1,ASCL2,ATF1,ATF2,BACH1,BACH2,BARX2,BATF,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELF2,ELK1,ELK3,ELK4,ESR1,ESR2,ESRRA,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXG1,FOXH1,FOXK1,FOXO3,FOXP1,FOXP3,GATA1,GATA2,GATA3,GATA4,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HEY1,HIF1A,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,LHX2,MAFF,MAFK,MAX,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MXI1,MYB,MYBL2,MYC,NANOG,NFAT5,NFATC1,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NR3C1,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX3,POU2F1,POU2F2,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX1,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SIX5,SMAD3,SOX17,SP1,SP2,SP4,SPIB,SREBF1,STAT1,STAT2,STAT3,STAT4,STAT5B,T,TAL1,TBP,TBX21,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,TP73,USF1,VDR,VEZF1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1,ZFX,ZNF250,ZNF263,ZNF384"
"15","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD38.1","173","AHR,AR,ARNT,ARNTL,ASCL1,ASCL2,ATF1,ATF2,BACH1,BACH2,BARX2,BATF,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELF2,ELK1,ELK3,ELK4,ESR1,ESR2,ESRRA,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXG1,FOXH1,FOXK1,FOXO3,FOXP1,FOXP2,FOXP3,GATA1,GATA2,GATA3,GATA4,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HEY1,HIF1A,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,KLF10,KLF3,KLF4,KLF9,KMT2A,LHX2,MAX,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MYB,MYBL2,MYC,MYOD1,NANOG,NFAT5,NFATC1,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NR3C1,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX3,POU2F1,POU2F2,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX1,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SIX5,SOX17,SP1,SP2,SP4,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5B,T,TAL1,TBP,TBX21,TCF21,TCF3,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP73,USF1,VDR,VEZF1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1,ZFX,ZNF250,ZNF263,ZNF384"
"16","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD41","138","AHR,AR,ARNTL,ASCL2,BACH1,BARX2,BATF,BHLHE40,CDX2,CEBPA,CEBPB,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELK1,ELK3,ELK4,ESR1,ESRRA,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXG1,FOXH1,FOXK1,FOXO3,FOXP1,GATA1,GATA2,GATA3,GATA4,GLI2,GLIS1,GMEB1,GMEB2,GTF2I,HES1,HEY1,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF1,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAX,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MYB,MYBL2,MYC,NANOG,NFATC1,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NR3C1,NR5A2,ONECUT1,OTX2,PAX5,PAX6,PBX3,POU2F1,POU2F2,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SOX17,SP1,SP2,SPIB,SREBF1,STAT2,STAT3,STAT4,STAT5B,T,TBP,TBX21,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP73,VDR,VEZF1,ZBTB7B,ZFX,ZNF250,ZNF263,ZNF384"
"17","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD5.1","149","AHR,AR,ARNT,ASCL2,BACH1,BARX2,BATF,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELK1,ELK3,ELK4,ESR1,ESRRA,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXG1,FOXH1,FOXK1,FOXO3,FOXP1,FOXP3,GATA1,GATA2,GATA3,GATA4,GATA6,GFI1B,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HEY1,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IRF3,IRF4,JUN,JUNB,KLF10,KLF3,KLF4,KLF9,KMT2A,LHX2,MAX,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MYB,MYBL2,MYC,NANOG,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NR3C1,NR5A2,NRF1,ONECUT1,PAX5,PAX6,PBX3,POU2F1,POU2F2,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX3,RXRA,RXRG,SETDB1,SIX5,SOX17,SP1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5B,T,TBP,TBX21,TCF21,TCF3,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,TP73,VDR,VEZF1,YY1,ZBTB7A,ZBTB7B,ZEB1,ZFX,ZNF250,ZNF263,ZNF384"
"18","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD45RB","88","AHR,AR,ASCL2,BACH2,BCL6,CDX2,CEBPA,CEBPD,E2F1,E2F3,EGR1,EGR2,ELF2,ELK4,ESR2,ESRRA,FOS,FOXA2,FOXG1,FOXO3,FOXP1,FOXP3,GATA1,GATA3,GATA4,GATA6,GFI1B,GLIS1,GRHL2,HES1,HEY1,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HSF2,IRF2,IRF3,JUNB,KLF10,KLF3,KLF9,KMT2A,LHX2,MAX,MECOM,MEF2A,MEIS1,MITF,MNT,MYB,MYBL2,MYC,NANOG,NFAT5,NFATC1,NR3C1,NR5A2,NRF1,ONECUT1,PAX5,PAX6,PBX3,RARA,RARG,RELA,REST,RFX5,RXRA,SIX5,SMAD3,SP1,SP2,SP4,SREBF1,STAT1,STAT2,STAT4,TAL1,TCF4,TP63,TP73,VDR,ZBTB33,ZBTB7A,ZEB1,ZNF263"
"19","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD71","178","AHR,AR,ARNTL,ASCL1,ASCL2,ATF1,ATF2,BACH1,BACH2,BARX2,BATF,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CTCFL,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELF2,ELK1,ELK3,ELK4,ESR1,ESR2,ESRRA,ETV1,ETV5,ETV6,FOS,FOSL1,FOSL2,FOXA1,FOXA2,FOXG1,FOXH1,FOXK1,FOXO3,FOXP1,FOXP3,GATA1,GATA2,GATA3,GATA4,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HEY1,HIF1A,HNF1B,HNF4A,HOXA1,HOXA4,HOXA6,HOXB13,HOXC6,HSF1,HSF2,IKZF1,IRF1,IRF2,IRF3,IRF4,JUN,JUNB,JUND,KLF10,KLF3,KLF5,KLF9,KMT2A,LHX2,MAFF,MAFK,MAX,MECOM,MEF2A,MEF2C,MEIS1,MITF,MNT,MXI1,MYB,MYBL2,MYC,NANOG,NFAT5,NFATC1,NFIC,NFYA,NFYB,NKX2-1,NR2C2,NR2F2,NR3C1,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX3,POU2F1,POU2F2,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,REST,RFX5,RUNX1,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SIX5,SMAD3,SOX17,SP1,SP2,SP4,SPI1,SPIB,SREBF1,STAT1,STAT2,STAT3,STAT4,STAT5B,T,TAL1,TBP,TBX21,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,TP73,USF1,VDR,VEZF1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1,ZFX,ZNF250,ZNF263,ZNF384"
"20","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","GPR56.1","41","ARNTL,BACH1,BARX2,BHLHE40,CEBPB,E2F8,EBF1,EHF,ELF1,ESR1,ETV1,FOSL2,FOXA1,FOXK1,GATA2,GLI2,IRF4,JUN,MEF2C,NFIC,NFYA,NFYB,NR2C2,NR2F2,POU2F1,POU2F2,PRDM1,PRDM14,RBPJ,RXRG,STAT3,TBP,TCF21,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,ZBTB7B,ZFX,ZNF250"
