"","x"
"1","BMCP"
"2","CD14-Mono"
"3","CLP"
"4","ERP"
"5","HSC CACNB2"
"6","HSC HIST1H2AC"
"7","HSC MYADM-CD97"
"8","HSC WNT11"
"9","LMPP CDK6-FLT3"
"10","LMPP LSAMP"
"11","LMPP Naive T-cell"
"12","LMPP PRSS1"
"13","LT-HSC HLF"
"14","MDP-2 GPR133"
"15","MDP-pDC"
"16","MEP-MKP"
"17","ML-Gran"
"18","MPP Ribo-high"
"19","MPP SPINK2-CD99"
"20","MultiLin-ATAC"
"21","pre-Gran CP"
"22","pre-MEP"
"23","pre-PC"
"24","ST-HSC PBX1"
