"","P2_2021Mar","P3_2023Jan"
"AHR",0.72131683664914,0.432297317296483
"AR",0.645247006413656,0.37530365974939
"BARX2",0.501905228682953,0.339437292162939
"CDX2",0.768479409692138,-0.42020524514346
"CEBPA",0.742239563203054,0.387748484305804
"E2F1",-0.647752033941693,-0.35096322475564
"EGR2",-0.510068784752671,-0.348587508023086
"ESR1",0.689941929681088,0.35892986739977
"ETS2",-0.620136032679333,-0.335272865982113
"ETV6",0.723324589265693,0.380352782755767
"FOSL1",0.661558912522187,0.381953542487509
"FOXK1",-0.650582581838519,-0.38389575665116
"FOXP3",0.510625752760682,0.39553918453815
"GATA2",0.707437644145997,0.300909224383697
"HSF2",0.730356130838726,0.331898394133945
"JUN",0.522154365768694,0.322846924127024
"KLF5",-0.743150093870612,-0.334398936863258
"MAX",-0.726812820440158,-0.313675303337491
"MEIS1",-0.334255326925195,0.43818802882218
"MNT",-0.65279652248924,-0.383578898454257
"NANOG",0.800032659884519,0.321354126028416
"NFATC1",0.770351474963264,0.430930010107811
"NFE2",0.789288692433436,0.351408104419306
"TFAP2C",0.752291719082815,0.37287022050201
"ZBTB33",0.574762493156653,-0.445116136774731
"ZKSCAN1",-0.608049554022761,-0.404560872264919
