"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",96,151,17,84
"AR",17,6,120,69
"ARID3A",52,95,48,164
"ARNT",159,75,47,152
"ARNTL",92,63,94,62
"ASCL1",31,190,11,173
"ASCL2",110,79,63,123
"ATF1",130,145,159,109
"ATF2",162,175,164,185
"ATF3",2,31,70,71
"BACH1",153,180,182,118
"BACH2",87,58,126,79
"BARX2",48,149,113,155
"BATF",190,112,85,169
"BCL11A",103,30,39,14
"BCL6",121,136,82,117
"BHLHE40",90,81,175,150
"CEBPA",178,33,110,26
"CEBPB",6,167,169,179
"CEBPD",118,87,129,70
"CLOCK",14,2,54,2
"CTCF",95,143,176,96
"CTCFL",82,4,7,50
"DUX4",102,61,131,58
"E2F1",128,27,64,1
"E2F2",7,5,30,41
"E2F3",168,189,158,105
"E2F4",36,15,187,27
"E2F6",132,135,52,101
"E2F7",143,32,44,63
"E2F8",171,177,191,145
"EBF1",158,120,112,136
"EGR1",49,127,51,17
"EGR2",83,98,87,115
"EHF",181,188,188,187
"ELF1",18,131,42,4
"ELK1",157,105,167,36
"ELK3",76,101,162,59
"ELK4",114,70,19,181
"EPAS1",65,64,75,21
"ESR1",62,49,55,6
"ESR2",133,94,141,64
"ESRRA",77,43,40,29
"ETS2",38,119,189,168
"ETV1",167,78,147,67
"ETV5",147,55,57,61
"ETV6",192,193,192,194
"ETV7",172,142,172,141
"FOS",34,133,95,68
"FOSL1",88,46,111,90
"FOSL2",85,34,21,10
"FOXA1",186,169,80,166
"FOXA2",4,10,97,120
"FOXD2",51,42,101,51
"FOXG1",75,109,14,81
"FOXH1",136,137,45,143
"FOXK1",93,115,130,112
"FOXM1",166,152,145,130
"FOXO3",74,62,8,66
"FOXP1",45,69,91,15
"FOXP2",5,104,66,86
"FOXP3",113,38,107,154
"GATA1",155,50,69,73
"GATA2",106,166,183,172
"GATA3",19,25,98,102
"GATA4",70,66,22,57
"GLI2",134,9,16,80
"GLIS1",64,67,15,108
"GMEB1",79,111,138,91
"GMEB2",61,102,86,174
"GRHL2",144,100,5,52
"GTF2B",188,192,193,192
"GTF2I",73,124,56,128
"HEY1",25,52,20,25
"HIF1A",109,99,62,110
"HINFP",67,130,121,103
"HNF1B",98,122,108,31
"HNF4A",140,116,18,38
"HNF4G",16,45,161,176
"HOXA1",60,147,77,142
"HOXA4",154,191,174,190
"HOXA6",163,173,186,137
"HOXB13",137,54,152,82
"HOXC6",150,153,89,88
"HSF1",107,13,49,46
"HSF2",179,156,154,157
"IRF1",187,176,68,49
"IRF2",115,159,109,163
"IRF3",135,183,116,147
"IRF4",117,72,67,159
"JUN",71,110,88,55
"JUNB",53,16,125,77
"JUND",193,194,194,193
"KLF1",1,93,102,144
"KLF10",50,68,32,98
"KLF3",184,184,163,162
"KLF4",191,185,149,138
"KLF9",156,181,81,183
"KMT2A",68,17,43,13
"LHX2",170,125,106,186
"MAF",81,103,72,149
"MAFF",97,40,92,56
"MAFK",46,26,34,40
"MECOM",99,155,99,83
"MEF2A",30,59,60,126
"MEF2C",125,123,155,122
"MEIS1",54,14,58,11
"MITF",41,48,23,33
"MNT",119,80,26,151
"MXI1",11,92,96,30
"MYB",23,8,105,104
"MYBL2",72,29,31,34
"MYC",105,148,136,95
"MYOD1",12,24,28,3
"NANOG",56,132,84,121
"NFAT5",39,53,36,12
"NFATC1",91,51,190,97
"NFE2",21,12,53,37
"NFIC",20,113,122,119
"NFYA",183,168,160,170
"NFYB",152,86,150,74
"NKX2-1",33,41,71,8
"NR2C2",116,85,73,85
"NR2F2",69,162,132,177
"NRF1",24,20,41,76
"ONECUT1",28,37,9,113
"OTX2",142,139,181,153
"PAX5",29,140,10,165
"PBX1",141,19,6,9
"PBX3",174,138,103,43
"PGR",165,129,24,178
"POU2F1",80,76,61,99
"POU2F2",35,56,59,32
"PPARG",13,82,65,100
"PRDM1",145,107,184,72
"PRDM14",151,108,76,135
"RARG",55,74,142,42
"RBPJ",175,150,114,132
"RELA",176,174,165,127
"REST",139,164,135,182
"RFX2",15,1,46,53
"RFX5",104,187,166,161
"RUNX1",32,22,118,22
"RUNX2",86,36,29,18
"RUNX3",42,163,127,39
"RXRA",84,117,13,87
"RXRG",124,165,78,116
"SETDB1",9,97,144,93
"SIX5",148,146,173,189
"SMAD3",120,65,115,167
"SOX17",149,77,148,23
"SP1",127,18,93,107
"SP4",94,154,90,35
"SPI1",10,89,128,47
"SPIB",89,11,1,92
"SREBF1",161,134,35,114
"SRF",40,71,25,184
"STAT1",177,178,179,94
"STAT2",100,158,104,75
"STAT3",66,172,177,180
