"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",158,151,106,71
"AR",47,83,7,16
"ARID3A",58,5,5,98
"ARNT",110,191,142,158
"ARNTL",107,110,95,132
"ASCL1",119,38,64,154
"ASCL2",87,117,143,103
"ATF1",133,150,185,58
"ATF2",187,37,193,184
"ATF3",11,12,112,44
"BACH1",181,141,108,140
"BACH2",33,22,59,50
"BARX2",112,32,43,161
"BATF",114,104,103,164
"BCL11A",64,77,177,31
"BCL6",19,7,12,116
"BHLHE40",90,39,88,125
"CEBPA",78,57,76,14
"CEBPB",137,90,168,178
"CEBPD",73,48,65,109
"CLOCK",6,13,99,4
"CTCF",159,63,62,74
"CTCFL",26,71,26,19
"DUX4",80,101,84,137
"E2F1",3,166,110,2
"E2F2",5,91,3,1
"E2F3",61,118,189,104
"E2F4",84,1,39,57
"E2F6",93,45,172,13
"E2F7",36,46,19,42
"E2F8",167,96,156,181
"EBF1",67,70,31,37
"EGR1",160,76,125,144
"EGR2",72,140,89,92
"EHF",189,149,180,147
"ELF1",37,53,67,15
"ELK1",94,155,92,173
"ELK3",63,54,101,118
"ELK4",118,75,181,25
"EPAS1",44,29,68,26
"ESR1",2,41,17,59
"ESR2",69,108,148,49
"ESRRA",8,23,35,54
"ETS2",164,148,188,166
"ETV1",75,156,69,17
"ETV5",38,129,37,85
"ETV6",193,185,194,190
"ETV7",124,113,154,77
"FOS",76,154,179,171
"FOSL1",81,188,75,90
"FOSL2",14,26,91,3
"FOXA1",186,186,71,134
"FOXA2",1,174,14,69
"FOXD2",12,51,100,10
"FOXG1",125,8,98,89
"FOXH1",135,111,72,106
"FOXK1",111,27,175,129
"FOXM1",104,97,183,160
"FOXO3",52,43,2,29
"FOXP1",57,34,120,167
"FOXP2",128,181,51,30
"FOXP3",88,89,153,121
"GATA1",103,69,133,117
"GATA2",82,183,34,148
"GATA3",97,9,33,35
"GATA4",113,3,151,105
"GLI2",49,171,21,99
"GLIS1",34,103,63,101
"GMEB1",171,165,73,119
