"","P1_2020Oct","P3_2023Jan"
"AHR",82,107
"AR",98,15
"ARID3A",121,22
"ARNT",32,172
"ARNTL",50,142
"ASCL2",46,108
"ATF1",151,89
"ATF2",146,183
"ATF3",48,155
"BACH1",52,173
"BACH2",33,59
"BARX2",54,85
"BATF",56,110
"BCL11A",125,90
"BCL6",102,111
"BHLHE40",114,98
"CEBPA",86,7
"CEBPD",18,47
"CLOCK",116,84
"CTCF",173,140
"E2F2",40,12
"E2F3",153,4
"E2F4",38,10
"E2F6",127,176
"E2F7",94,40
"E2F8",39,159
"EBF1",140,141
"EGR1",143,182
"EGR2",169,177
"EHF",126,86
"ELF1",30,2
"ELK1",170,127
"ELK3",36,46
"ELK4",88,122
"EPAS1",24,20
"ESR1",25,55
"ESR2",118,134
"ESRRA",63,52
"ETS2",161,151
"ETV1",12,36
"ETV5",60,16
"ETV6",183,169
"ETV7",111,74
"FOS",158,93
"FOSL1",133,163
"FOSL2",135,179
"FOXD2",79,62
"FOXH1",181,70
"FOXK1",35,44
"FOXM1",160,57
"FOXO3",15,128
"FOXP1",159,113
"FOXP2",166,54
"FOXP3",75,79
"GATA1",74,152
"GATA2",141,112
"GATA3",31,181
"GATA4",64,1
"GLI2",43,81
"GLIS1",101,87
"GMEB1",87,143
"GMEB2",41,138
"GRHL2",95,117
"GTF2B",179,165
"GTF2I",61,24
"HEY1",5,125
"HIF1A",59,82
"HINFP",23,65
"HNF1B",138,33
"HNF4A",89,25
"HNF4G",107,97
"HOXA1",147,148
"HOXA4",47,129
"HOXB13",172,91
"HOXC6",28,149
"HSF1",136,38
"HSF2",168,174
"IRF2",162,21
"IRF3",152,156
"IRF4",100,64
"JUN",73,164
"JUNB",69,78
"JUND",182,83
"KLF1",16,3
"KLF10",177,135
"KLF3",148,42
"KLF4",165,56
"KLF9",76,61
"KMT2A",6,75
"LHX2",96,119
"MAF",117,6
"MAFF",53,39
"MAFK",67,73
"MECOM",27,133
"MEF2A",163,37
"MEF2C",178,69
"MEIS1",112,121
"MITF",78,145
"MNT",13,66
"MXI1",91,175
"MYB",29,123
"MYBL2",104,45
"MYC",156,153
"NANOG",106,95
"NFAT5",99,139
"NFATC1",44,147
"NFE2",93,114
"NFIC",154,41
"NFYA",137,158
"NFYB",142,106
"NKX2-1",150,60
"NR2C2",9,31
"NR2F2",123,166
"NRF1",7,30
"PAX5",113,9
"PAX6",68,150
"PBX1",81,53
"PBX3",164,126
"PGR",119,180
"POU2F1",22,105
"POU2F2",174,32
"PPARG",110,144
"PRDM1",128,14
"RARA",80,171
"RARG",71,67
"RBPJ",70,100
"RELA",176,161
"REST",58,96
"RFX2",34,118
"RFX5",175,94
"RUNX1",2,18
"RUNX2",19,101
"RUNX3",108,178
"RXRA",97,124
"RXRG",51,26
"SETDB1",157,49
"SIX5",55,43
"SMAD3",49,76
"SOX17",3,29
"SP1",124,131
"SP4",149,137
"SPDEF",1,48
"SPI1",105,136
"SPIB",83,132
"SREBF1",42,72
"SRF",130,99
"STAT1",180,160
"STAT2",77,162
"STAT3",92,88
"STAT4",26,154
"STAT5A",144,103
"STAT5B",17,8
"TBP",62,5
"TBX21",14,13
"TCF12",115,50
"TCF21",8,34
"TCF3",155,17
"TCF4",20,146
"TCF7L2",131,168
"TEAD4",11,115
"TFAP2A",109,28
"TFAP2C",103,71
"TFAP4",57,58
"TFDP1",21,104
"THAP1",129,157
"TP63",84,109
"TP73",45,27
"USF1",134,63
"USF2",167,170
"VDR",85,35
"VEZF1",66,77
"XBP1",171,23
"YY1",122,92
"ZBTB33",145,167
"ZBTB7A",139,130
"ZBTB7B",72,68
"ZEB1",120,51
"ZFX",90,19
"ZKSCAN1",37,102
"ZNF143",10,116
"ZNF263",65,80
"ZNF384",132,120
"ZNF76",4,11
