"","ND251_34","ND251_LMPP"
"AHR",142,92
"AR",24,20
"ARID3A",14,36
"ARNT",176,77
"ARNTL",17,49
"ASCL1",97,153
"ASCL2",59,75
"ATF1",139,159
"ATF2",187,187
"ATF3",7,57
"BACH1",80,179
"BACH2",18,8
"BARX2",128,128
"BATF",111,118
"BCL11A",62,62
"BCL6",141,32
"BHLHE40",78,131
"CEBPA",104,41
"CEBPB",44,163
"CEBPD",52,86
"CLOCK",60,3
"CTCF",188,178
"CTCFL",51,10
"DUX4",165,50
"E2F1",83,7
"E2F2",48,5
"E2F3",147,176
"E2F4",55,60
"E2F6",148,69
"E2F7",101,6
"E2F8",171,181
"EBF1",70,107
"EGR1",132,162
"EGR2",103,82
"EHF",164,188
"ELF1",34,85
"ELK1",22,83
"ELK3",3,37
"ELK4",192,104
"EPAS1",155,61
"ESR1",57,64
"ESR2",26,87
"ESRRA",98,59
"ETS2",182,150
"ETV1",166,112
"ETV5",102,66
"ETV6",184,193
"ETV7",115,101
"FOS",50,90
"FOSL1",106,106
"FOSL2",159,26
"FOXA1",117,177
"FOXA2",37,1
"FOXD2",110,44
"FOXG1",81,94
"FOXH1",23,130
"FOXK1",146,113
"FOXM1",68,103
"FOXO3",25,34
"FOXP1",179,132
"FOXP2",99,88
"FOXP3",121,156
"GATA1",151,96
"GATA2",116,117
"GATA3",2,68
"GATA4",126,72
"GLI2",125,46
"GLIS1",45,42
"GMEB1",157,99
"GMEB2",94,148
"GRHL2",134,43
"GTF2B",90,192
"GTF2I",178,91
"HEY1",96,52
"HIF1A",8,170
"HINFP",168,157
"HNF1B",82,135
"HNF4A",39,71
"HNF4G",150,89
"HOXA1",32,133
"HOXA4",163,190
"HOXA6",152,158
"HOXB13",113,70
"HOXC6",162,97
"HSF1",167,27
"HSF2",77,146
"IRF1",107,167
"IRF2",124,143
"IRF3",10,114
"IRF4",5,19
"JUN",161,144
"JUNB",38,110
"JUND",189,194
"KLF1",9,21
"KLF10",180,74
"KLF3",172,183
"KLF4",119,189
"KLF9",31,184
"KMT2A",75,76
"LHX2",64,161
"MAF",138,109
"MAFF",156,4
"MAFK",72,134
"MECOM",93,138
"MEF2A",71,48
"MEF2C",169,168
"MEIS1",131,55
"MITF",41,22
"MNT",42,65
"MXI1",49,24
"MYB",160,33
"MYBL2",4,16
"MYC",15,152
"MYOD1",186,2
"NANOG",92,126
"NFAT5",149,84
"NFATC1",79,102
"NFE2",16,53
"NFIC",11,39
"NFYA",193,105
"NFYB",95,122
"NKX2-1",158,13
"NR2C2",12,73
"NR2F2",86,171
"NRF1",105,18
"ONECUT1",112,23
"OTX2",120,147
"PAX5",114,95
"PBX1",40,12
"PBX3",129,155
"PGR",181,119
"POU2F1",65,98
"POU2F2",53,31
"PPARG",144,54
"PRDM1",133,120
"PRDM14",36,136
"RARG",63,80
"RBPJ",87,169
"RELA",89,175
"REST",135,165
"RFX2",46,11
"RFX5",100,186
"RUNX1",20,15
"RUNX2",66,51
"RUNX3",56,174
"RXRA",30,111
"RXRG",153,173
"SETDB1",91,67
"SIX5",85,172
"SMAD3",122,108
"SOX17",33,47
"SP1",73,35
"SP4",47,121
"SPI1",123,141
"SPIB",174,100
"SREBF1",127,79
"SRF",140,40
"STAT1",170,115
"STAT2",84,142
"STAT3",137,164
"STAT4",35,29
"STAT5A",194,180
"STAT5B",108,116
"TBP",67,58
"TCF12",1,124
"TCF21",54,93
"TCF3",190,191
"TCF4",61,125
"TCF7L2",154,139
"TEAD4",191,154
"TFAP2A",27,45
"TFAP2C",145,17
"TFAP4",88,151
"TFDP1",21,56
"THAP1",13,25
"TP63",118,137
"TP73",74,81
"USF1",109,145
"USF2",177,127
"VDR",175,78
"VEZF1",19,38
"XBP1",136,160
"YY1",185,185
"ZBTB33",130,149
"ZBTB7A",6,123
"ZBTB7B",143,30
"ZEB1",43,140
"ZFP42",173,129
"ZFX",69,182
"ZKSCAN1",76,9
"ZNF143",58,63
"ZNF263",183,28
"ZNF384",28,166
"ZNF76",29,14
