"","ND251_34","ND251_LMPP"
"AHR",141,92
"AR",24,20
"ARID3A",14,36
"ARNT",176,77
"ARNTL",17,49
"ASCL1",97,153
"ASCL2",60,75
"ATF1",137,159
"ATF2",187,187
"ATF3",7,57
"BACH1",79,179
"BACH2",18,8
"BARX2",128,128
"BATF",111,118
"BCL11A",61,62
"BCL6",142,32
"BHLHE40",78,132
"CEBPA",104,41
"CEBPB",44,163
"CEBPD",53,85
"CLOCK",59,3
"CTCF",188,178
"CTCFL",52,10
"DUX4",164,50
"E2F1",82,7
"E2F2",49,5
"E2F3",145,176
"E2F4",55,60
"E2F6",148,69
"E2F7",100,6
"E2F8",171,181
"EBF1",73,107
"EGR1",131,162
"EGR2",103,82
"EHF",165,188
"ELF1",34,86
"ELK1",22,83
"ELK3",3,37
"ELK4",192,105
"EPAS1",155,61
"ESR1",57,64
"ESR2",26,87
"ESRRA",98,58
"ETS2",182,150
"ETV1",166,112
"ETV5",102,66
"ETV6",184,193
"ETV7",116,101
"FOS",48,90
"FOSL1",106,106
"FOSL2",159,26
"FOXA1",117,177
"FOXA2",37,1
"FOXD2",110,43
"FOXG1",81,94
"FOXH1",23,130
"FOXK1",146,113
"FOXM1",68,103
"FOXO3",25,34
"FOXP1",179,131
"FOXP2",99,88
"FOXP3",121,156
"GATA1",150,96
"GATA2",115,117
"GATA3",2,68
"GATA4",124,72
"GLI2",126,46
"GLIS1",45,42
"GMEB1",157,99
"GMEB2",93,148
"GRHL2",132,44
"GTF2B",91,192
"GTF2I",177,91
"HEY1",94,52
"HIF1A",8,170
"HINFP",170,157
"HNF1B",83,136
"HNF4A",38,71
"HNF4G",151,89
"HOXA1",30,133
"HOXA4",163,190
"HOXA6",152,158
"HOXB13",112,70
"HOXC6",162,97
"HSF1",167,27
"HSF2",77,147
"IRF1",108,167
"IRF2",125,143
"IRF3",10,114
"IRF4",5,19
"JUN",161,144
"JUNB",40,110
"JUND",189,194
"KLF1",9,21
"KLF10",180,74
"KLF3",172,183
"KLF4",120,189
"KLF9",32,184
"KMT2A",74,76
"LHX2",62,160
"MAF",138,109
"MAFF",156,4
"MAFK",71,134
"MECOM",96,138
"MEF2A",70,48
"MEF2C",168,168
"MEIS1",134,55
"MITF",41,22
"MNT",42,65
"MXI1",50,24
"MYB",160,33
"MYBL2",4,16
"MYC",15,152
"MYOD1",186,2
"NANOG",92,126
"NFAT5",149,84
"NFATC1",80,102
"NFE2",16,53
"NFIC",12,39
"NFYA",193,104
"NFYB",95,122
"NKX2-1",158,13
"NR2C2",11,73
"NR2F2",89,171
"NRF1",105,18
"ONECUT1",113,23
"OTX2",119,146
"PAX5",114,95
"PBX1",39,12
"PBX3",129,155
"PGR",181,119
"POU2F1",66,98
"POU2F2",51,31
"PPARG",144,54
"PRDM1",133,120
"PRDM14",36,135
"RARG",64,80
"RBPJ",86,169
"RELA",87,175
"REST",136,165
"RFX2",47,11
"RFX5",101,186
"RUNX1",21,15
"RUNX2",65,51
"RUNX3",56,174
"RXRA",31,111
"RXRG",153,173
"SETDB1",90,67
"SIX5",84,172
"SMAD3",123,108
"SOX17",33,47
"SP1",72,35
"SP4",46,121
"SPI1",122,141
"SPIB",174,100
"SREBF1",127,79
"SRF",140,40
"STAT1",169,115
"STAT2",85,142
"STAT3",139,164
"STAT4",35,29
"STAT5A",194,180
"STAT5B",107,116
"TBP",67,59
"TCF12",1,124
"TCF21",54,93
"TCF3",190,191
"TCF4",63,125
"TCF7L2",154,139
"TEAD4",191,154
"TFAP2A",28,45
"TFAP2C",147,17
"TFAP4",88,151
"TFDP1",19,56
"THAP1",13,25
"TP63",118,137
"TP73",75,81
"USF1",109,145
"USF2",178,127
"VDR",175,78
"VEZF1",20,38
"XBP1",135,161
"YY1",185,185
"ZBTB33",130,149
"ZBTB7A",6,123
"ZBTB7B",143,30
"ZEB1",43,140
"ZFP42",173,129
"ZFX",69,182
"ZKSCAN1",76,9
"ZNF143",58,63
"ZNF263",183,28
"ZNF384",27,166
"ZNF76",29,14
