"","ND251_34","ND251_LMPP","ND251_MPP"
"AHR",156,35,62
"AR",2,114,2
"ARID3A",19,95,122
"ARNT",111,167,113
"ARNTL",116,25,144
"ASCL1",100,78,156
"ASCL2",31,7,168
"ATF1",173,139,172
"ATF2",184,146,185
"ATF3",95,93,83
"BACH1",139,135,133
"BACH2",14,23,30
"BARX2",145,20,181
"BATF",164,105,151
"BCL11A",71,121,100
"BCL6",90,73,68
"BHLHE40",93,173,119
"CEBPA",21,152,53
"CEBPB",152,11,85
"CEBPD",108,72,71
"CLOCK",13,53,48
"CTCF",133,147,57
"CTCFL",37,52,89
"DUX4",38,144,39
"E2F1",4,30,44
"E2F2",27,9,43
"E2F3",185,127,186
"E2F4",83,96,23
"E2F6",157,3,67
"E2F7",59,61,112
"E2F8",149,193,117
"EBF1",110,82,52
"EGR1",189,60,41
"EGR2",75,90,177
"EHF",190,161,184
"ELF1",126,29,111
"ELK1",46,39,127
"ELK3",24,62,97
"ELK4",128,54,147
"EPAS1",68,37,46
"ESR1",1,150,26
"ESR2",143,119,61
"ESRRA",8,126,13
"ETS2",109,155,170
"ETV1",18,184,105
"ETV5",10,148,45
"ETV6",193,190,193
"ETV7",135,87,183
"FOS",105,12,167
"FOSL1",84,172,95
"FOSL2",39,180,16
"FOXA1",179,178,92
"FOXA2",58,100,17
"FOXD2",35,19,64
"FOXG1",97,122,84
"FOXH1",114,56,24
"FOXK1",103,27,78
"FOXM1",178,157,187
"FOXO3",48,84,31
"FOXP1",5,2,58
"FOXP2",66,88,124
"FOXP3",125,99,136
"GATA1",29,22,70
"GATA2",57,174,178
"GATA3",113,67,9
"GATA4",122,124,25
"GLI2",64,41,28
"GLIS1",74,153,149
"GMEB1",117,77,109
"GMEB2",119,85,77
"GRHL2",70,18,36
"GTF2B",192,21,192
"GTF2I",154,91,87
"HEY1",25,43,135
"HIF1A",187,26,169
"HINFP",158,158,189
"HNF1B",88,97,191
"HNF4A",73,141,155
"HNF4G",63,128,72
"HOXA1",181,98,139
"HOXA4",168,108,188
"HOXA6",80,58,165
"HOXB13",81,86,190
"HOXC6",102,177,130
"HSF1",107,138,1
"HSF2",182,181,174
"IRF1",170,192,157
"IRF2",163,191,98
"IRF3",146,183,163
"IRF4",86,143,159
"JUN",124,5,150
"JUNB",118,10,182
"JUND",194,188,194
"KLF1",121,113,5
"KLF10",22,28,171
"KLF3",188,182,176
"KLF4",175,171,121
"KLF9",171,130,104
"KMT2A",7,42,10
"LHX2",127,145,93
"MAF",52,112,140
"MAFF",98,80,11
"MAFK",166,151,56
"MECOM",162,109,42
"MEF2A",56,32,80
"MEF2C",144,165,123
"MEIS1",61,133,15
"MITF",47,13,37
"MNT",40,129,27
"MXI1",65,81,50
"MYB",136,8,21
"MYBL2",50,16,20
"MYC",147,92,29
"MYOD1",67,69,3
"NANOG",169,136,49
"NFAT5",33,6,4
"NFATC1",92,49,154
"NFE2",51,36,35
"NFIC",89,68,137
"NFYA",87,115,108
"NFYB",104,187,103
"NKX2-1",36,74,40
"NR2C2",112,51,60
"NR2F2",155,110,65
"NRF1",42,63,54
"ONECUT1",26,50,162
"OTX2",137,134,18
"PAX5",53,111,7
"PBX1",6,59,19
"PBX3",78,189,179
"PGR",160,120,94
"POU2F1",44,94,138
"POU2F2",62,117,86
"PPARG",41,118,166
"PRDM1",115,38,91
"PRDM14",167,107,173
"RARG",32,17,32
"RBPJ",174,186,148
"RELA",183,65,90
"REST",153,166,180
"RFX2",9,132,81
"RFX5",172,159,125
"RUNX1",23,57,69
"RUNX2",99,47,38
"RUNX3",131,45,134
"RXRA",72,44,76
"RXRG",177,163,131
"SETDB1",45,71,82
"SIX5",180,89,158
"SMAD3",101,34,132
"SOX17",79,125,8
"SP1",94,1,118
"SP4",77,70,145
"SPI1",165,175,141
"SPIB",54,31,142
"SREBF1",150,164,101
"SRF",28,162,114
"STAT1",140,101,164
"STAT2",82,40,143
"STAT3",176,131,160
"STAT4",34,4,102
"STAT5A",161,116,153
"STAT5B",148,76,34
"TBP",17,149,74
"TCF12",132,102,110
"TCF21",96,104,51
"TCF3",191,75,128
"TCF4",138,176,33
"TCF7L2",130,64,175
"TEAD4",123,106,66
"TFAP2A",20,55,115
"TFAP2C",85,15,116
"TFAP4",15,66,161
"TFDP1",3,83,63
"THAP1",12,24,129
"TP63",141,103,22
"TP73",49,169,75
"USF1",55,142,99
"USF2",142,46,73
"VDR",30,156,96
"VEZF1",16,14,6
"XBP1",120,140,106
"YY1",106,137,79
"ZBTB33",159,79,152
"ZBTB7A",186,194,59
"ZBTB7B",76,123,146
"ZEB1",134,170,120
"ZFP42",129,179,107
"ZFX",60,154,126
"ZKSCAN1",43,33,14
"ZNF143",91,160,47
"ZNF263",69,168,55
"ZNF384",151,185,88
"ZNF76",11,48,12
