"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"E2F2",-0.454583957790108,-0.374624220836675,-0.394228869687463
"ETV1",-0.349779229120145,0.345462543823952,-0.398379340741993
"GRHL2",-0.483174397431125,0.371225852176925,0.321628566479644
"HSF2",-0.366393137628042,0.394371498183873,0.70801765750855
"JUNB",-0.346472577426826,0.444681131518422,0.474668951553838
"RXRG",0.738996328436221,0.309963368499802,0.382897424903665
"SPIB",0.555678784560249,-0.334877084687838,0.526582779981933
