"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"MNT",0.406019698642313,-0.528658247990964,-0.369208494208494,0.502217574279947
"RXRA",0.384996573525828,-0.384446217842517,-0.307581607581608,-0.428653677439143
"TCF4",0.391653854425026,0.363564045503853,-0.419269919269919,0.475926595606082
"TP73",0.357017505125375,0.393461368720617,0.426219726219726,0.374701989997968
"ZBTB33",-0.526198047339823,-0.380461414148209,0.396709371709372,-0.5383811088083
